IDCNTRY;Variable;ASDGHRL;ASDGSLR;ASDGHRL.se;ASDGSLR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Saudi Arabia;ASDGSLR;,0524566914099313;1;,0219432564331025;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Singapore;ASDGHRL;1;,189297448084336;0;,0126004831372655;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Singapore;ASDGSLR;,189297448084336;1;,0126004831372655;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;ASDGHRL;1;,14422120464278;0;,0243572471678065;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;ASDGSLR;,14422120464278;1;,0243572471678065;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovenia;ASDGHRL;1;,0723558407334556;0;,0203743304868274;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovenia;ASDGSLR;,0723558407334556;1;,0203743304868274;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;ASDGHRL;1;,0121812899854114;0;,016667337020559;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;ASDGSLR;,0121812899854114;1;,016667337020559;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);ASDGHRL;1;-,0195274621590972;0;,0277947041177934;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);ASDGSLR;-,0195274621590972;1;,0277947041177934;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);ASDGHRL;1;-,0730623167038714;0;,0569319353274854;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);ASDGSLR;-,0730623167038714;1;,0569319353274854;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;ASDGHRL;1;,075439420449055;0;,0133678570480633;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;ASDGSLR;,075439420449055;1;,0133678570480633;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);ASDGHRL;1;,0504789419099878;0;,0239104751492015;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);ASDGSLR;,0504789419099878;1;,0239104751492015;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid;ASDGHRL;1;,0707357137246723;0;,0189735132204338;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid;ASDGSLR;,0707357137246723;1;,0189735132204338;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid, Bilingual;ASDGHRL;1;,0552162116652216;0;,0276732296313451;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid, Bilingual;ASDGSLR;,0552162116652216;1;,0276732296313451;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;ASDGHRL;1;,16063320763928;0;,016925941690454;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;ASDGSLR;,16063320763928;1;,016925941690454;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;ASDGHRL;1;,0362529096614572;0;,0176143491741602;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;ASDGSLR;,0362529096614572;1;,0176143491741602;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;ASDGHRL;1;,0294534840730794;0;,01209387995719;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;ASDGSLR;,0294534840730794;1;,01209387995719;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);ASDGHRL;1;,0745061146713665;0;,017926963544322;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);ASDGSLR;,0745061146713665;1;,017926963544322;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);ASDGHRL;1;,00488426087959015;0;,0165952058692696;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);ASDGSLR;,00488426087959015;1;,0165952058692696;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Table Average;ASDGHRL;1;,08532815819986;0;,00285057907432837;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Table Average;ASDGSLR;,08532815819986;1;,00285057907432837;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
