IDCNTRY;EqVar;TOTWGTS;mean;stdev;var;TOTWGTS.se;mean.se;stdev.se;var.se;NObs;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Finland;S_GENEFF;55682,5075999999;52,2453720799376;8,65550251739241;74,9177238285864;1349,26418697297;,242628850911741;,19446208465324;3,3760782369529;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;S_HISCED_D1;55682,5075999999;,00349264782392811;,0589958620708422;,00348051174148183;1349,26418697297;,00148306441089289;,0121730971003586;,00147208561747205;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;S_HISCED_D2;55682,5075999999;,0272275894413922;,16274742237174;,0264867234886456;1349,26418697297;,00324389961348438;,00940548881338839;,00306663242447649;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;S_HISCED_D3;55682,5075999999;,246212790423972;,430807828800684;,185595385355959;1349,26418697297;,0108096977711041;,00636782048480377;,00548656981729651;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;S_HISCED_D4;55682,5075999999;,168879596148073;,374648900845919;,140361798905055;1349,26418697297;,00860068694104839;,00760794294376324;,00569839559260382;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;S_SEX_D2;55682,5075999999;,503954309036901;,499988852855923;,249988852980182;1349,26418697297;,00867840997459577;7,22365395199462E-005;7,22341366979264E-005;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;PV_CT;55682,5075999999;513,7278858203;92,4587564888919;8549,06736016753;1349,26418697297;3,30119960557353;2,27153649590855;422,191842629653;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;PV_CIL;720078,245618999;505,523685564901;76,5741694008172;5863,9757844552;14994,5705338726;1,99057297182984;1,67656765772821;257,088833617443;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_AGE;720078,245618999;13,803676234904;,433867683518685;,18824116680187;14994,5705338726;,00897115418124576;,00820874482899148;,00712373174781298;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_GENEFF;720078,245618999;49,4625580591242;9,2511502551128;85,5837810426737;14994,5705338726;,21283979714695;,173094859107993;3,20310843849488;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_HISCED_D1;720078,245618999;,0184629747084936;,134618417908847;,0181221184402809;14994,5705338726;,00279180944859034;,0099615668266799;,00268816842637089;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_HISCED_D2;720078,245618999;,0821947940617503;,27466145462329;,0754389146557818;14994,5705338726;,00588874565101774;,0089536335272892;,00491995877451002;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_HISCED_D3;720078,245618999;,301457018413878;,458891029444562;,21058097690469;14994,5705338726;,00939049001734499;,00407683170075134;,00373956946027959;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_HISCED_D4;720078,245618999;,284537409330942;,45119414306495;,203576154736115;14994,5705338726;,0127809028485638;,00608431291779454;,00549344129392005;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_SEX_D2;720078,245618999;,499775176645755;,500000296639275;,250000296639363;14994,5705338726;,00716842088528376;1,62875870585556E-005;1,62874314931534E-005;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;PV_CT;720078,245618999;508,35704794986;88,7000893406766;7868,0690413352;14994,5705338726;2,07126031151288;1,58735798412214;281,994347963857;2616; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;PV_CIL;582574,944023999;527,394493203021;77,2330709863771;5965,28317954871;15679,2943495767;2,69402942854118;2,6590749705804;407,214641854947;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_AGE;582574,944023999;14,4384328324424;,592147437026465;,350638587177011;15679,2943495767;,0187623818855756;,0177840927592018;,0210660456269343;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_GENEFF;582574,944023999;49,3530450825153;9,31130129136471;86,7003317385701;15679,2943495767;,246753178004927;,245152572323918;4,55564131688373;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_HISCED_D1;582574,944023999;,00182602129376195;,0426929744650781;,00182269006867581;15679,2943495767;,000987969269762405;,0114074507526298;,000984183553016587;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_HISCED_D2;582574,944023999;,39805757121001;,489497857507006;,239608152503949;15679,2943495767;,0142860185815783;,00299465207989902;,00293085996531524;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_HISCED_D3;582574,944023999;,246691727406456;,431086114396052;,185835238025086;15679,2943495767;,0105930564790064;,00623752251110269;,00537484635007989;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_HISCED_D4;582574,944023999;,0559393995558751;,229804860224831;,0528102737829539;15679,2943495767;,00573391932416863;,0110786345859983;,00509216886566175;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_SEX_D2;582574,944023999;,488411819792028;,499866125056537;,249866142979038;15679,2943495767;,0104750931588273;,000237958767398888;,000237893438267893;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;PV_CT;582574,944023999;495,919587861562;100,027603388113;10005,5503030873;15679,2943495767;3,48800293869547;2,41867211967218;482,000174894473;2831; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;PV_CIL;122491,556791;525,093687145231;74,0187176393507;5478,87597871392;4664,56569089895;2,69579379126142;1,96552376194837;290,751423691144;1481; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;S_AGE;122491,556791;14,4066550746241;,586604795118101;,344105185655549;4664,56569089895;,0281497529618866;,0281597352250086;,0326139132005483;1481; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;S_GENEFF;122491,556791;48,6046690782577;9,08270625868899;82,4955529816282;4664,56569089895;,223201600464437;,206652282312859;3,75745788682181;1481; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
