"";"IDCNTRY";"ASBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"25";"Bulgaria";"Girl";"ASRREA0";"Percentile";10;50;449,766332;10,9429612398219;566,860344;5,41632855879663;117,094012;9,01660031369057;12,986492461267;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"26";"Bulgaria";"Girl";"ASRREA0";"Percentile";10;90;449,766332;10,9429612398219;660,338932;3,88869285688319;210,5726;10,363984821563;20,3177256263332;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"27";"Bulgaria";"Girl";"ASRREA0";"Percentile";50;90;566,860344;5,41632855879663;660,338932;3,88869285688319;93,478588;4,61107793592499;20,2726107211736;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"28";"Bulgaria";"Boy";"ASRREA0";"Percentile";10;50;432,003808;10,4127701984675;551,682386;4,78841730144998;119,678578;9,54908557920092;12,532988316774;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"29";"Bulgaria";"Boy";"ASRREA0";"Percentile";10;90;432,003808;10,4127701984675;644,680254;4,3687265722205;212,676446;10,0580198464576;21,1449618559764;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"30";"Bulgaria";"Boy";"ASRREA0";"Percentile";50;90;551,682386;4,78841730144998;644,680254;4,3687265722205;92,997868;4,73729242757756;19,6310169620571;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"31";"Canada";"Girl";"ASRREA0";"Percentile";10;50;451,70147;5,26752451358507;555,426922;2,74331847059982;103,725452;5,0171198412768;20,67430224541;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"32";"Canada";"Girl";"ASRREA0";"Percentile";10;90;451,70147;5,26752451358507;639,552372;2,55173600200413;187,850902;5,5438673453;33,8844511060058;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"33";"Canada";"Girl";"ASRREA0";"Percentile";50;90;555,426922;2,74331847059982;639,552372;2,55173600200413;84,12545;2,55624934002735;32,9097199880744;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"34";"Canada";"Boy";"ASRREA0";"Percentile";10;50;437,902722;3,94664602223382;543,079314;2,45844277454366;105,176592;4,10610660970995;25,6146763825573;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"35";"Canada";"Boy";"ASRREA0";"Percentile";10;90;437,902722;3,94664602223382;628,955214;2,7498249146111;191,052492;4,44177522733581;43,0126429685623;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"36";"Canada";"Boy";"ASRREA0";"Percentile";50;90;543,079314;2,45844277454366;628,955214;2,7498249146111;85,8759;2,93916243846264;29,2178135091159;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"37";"Chile";"Girl";"ASRREA0";"Percentile";10;50;398,22178;7,95345629628213;505,825406;3,45183616716321;107,603626;7,8450858155769;13,716054677993;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"38";"Chile";"Girl";"ASRREA0";"Percentile";10;90;398,22178;7,95345629628213;595,845162;5,2695020811519;197,623382;8,73931211453251;22,6131507159899;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"39";"Chile";"Girl";"ASRREA0";"Percentile";50;90;505,825406;3,45183616716321;595,845162;5,2695020811519;90,019756;5,32432366145561;16,9072659221828;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"40";"Chile";"Boy";"ASRREA0";"Percentile";10;50;379,532884;6,20902438687886;491,674034;3,3932912636268;112,14115;5,87971542348355;19,072547210722;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"41";"Chile";"Boy";"ASRREA0";"Percentile";10;90;379,532884;6,20902438687886;586,927382;4,00876921378542;207,394498;6,51425024659275;31,8370480330375;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"42";"Chile";"Boy";"ASRREA0";"Percentile";50;90;491,674034;3,3932912636268;586,927382;4,00876921378542;95,253348;4,06278956473796;23,4453068469825;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"43";"Chinese Taipei";"Girl";"ASRREA0";"Percentile";10;50;481,229048;4,02122024028327;566,267626;2,3858302029893;85,038578;4,23183738579167;20,0949540938212;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"44";"Chinese Taipei";"Girl";"ASRREA0";"Percentile";10;90;481,229048;4,02122024028327;640,017666;4,24066129219912;158,788618;5,34658012571998;29,6991000352056;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
