"";"IDCNTRY";"BSBG01";"xvar";"n";"TOTWGT";"sumw_se";"tsumw";"tsumw_se";"pct";"pct_se";"tpct";"tpct_se";"mnx";"mnx_se";"sdx";"sdx_se";"vrx";"vrx_se";"DEff";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"date";"time";"selcrit"
"22";"Czech Republic";"Girl";"BSDGSLM";3930;53945,2026869997;1129,0382647143;54484,3400969996;1140,0906754665;48,6643849690138;0,671327275812173;48,3611180932062;0,654654630473714;2,66647722135014;0,0133621668987672;0,577735579463861;0,0114044333282244;0,333778399778444;0,0131773563322532;2,10226812787068;0,989527282591956;105;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"23";"Czech Republic";"Boy";"BSDGSLM";4044;56906,3013879996;1256,72132122612;58177,1165549995;1277,98405102795;51,3356150309862;0,671327275812168;51,6388819067938;0,654654630473719;2,52261474356288;0,0191564572585967;0,66228160231936;0,0120891781137893;0,438616920770699;0,0160112010425545;3,3834218930747;2,18439008712059;105;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"24";"Finland";"Girl";"BSDGSLM";2810;27519,9754680002;704,557067314315;28126,2988510002;693,23773983661;50,0208581575274;0,87850169406536;48,9927388027346;0,874850332905685;2,69225258366058;0,0153325963687696;0,563625906644693;0,0145976706057133;0,317674162641052;0,0164542593193012;2,07948519188136;2,15571691893062;82;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"25";"Finland";"Boy";"BSDGSLM";2778;27497,0244030003;596,119128570467;29282,8183740003;643,743638744234;49,9791418424726;0,878501694065367;51,0072611972655;0,874850332905688;2,5523191812472;0,0150900295273929;0,63816150643346;0,0106144225905752;0,407250108293423;0,0135471231616251;1,55328522816366;6,09843611428323;82;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"26";"France";"Girl";"BSDGSLM";2169;394421,920676999;10078,6274800462;406396,453289999;9177,02916482318;50,5453779193768;0,720702393055162;49,7490993260902;0,727279817428045;2,59991314879726;0,020500895802723;0,598592782465815;0,0129506321263562;0,358313319220167;0,0155031699164276;2,54414744214619;2,94651503871643;75;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"27";"France";"Boy";"BSDGSLM";2130;385910,400323998;8931,53479658403;410495,628767998;8594,62476464642;49,4546220806232;0,720702393055167;50,2509006739098;0,727279817428037;2,34476671864064;0,0196908221512387;0,700172834333334;0,00998079132914411;0,490241997938374;0,0139761517180336;1,68459997198397;5,98915718488562;75;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"28";"Georgia";"Girl";"BSDGSLM";2300;19956,2334179999;464,337377917457;20699,737008;474,221519296226;51,0376143347441;0,803033643140885;49,6073118140675;0,780774067391317;2,20311516753177;0,0272678474850286;0,763330374330043;0,0111184004030195;0,582673260374844;0,0169726028028579;2,93497536470685;3,59185041680796;80;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"29";"Georgia";"Boy";"BSDGSLM";2257;19144,7976119999;420,935250611073;21027,4524949999;390,683304602867;48,9623856652559;0,803033643140881;50,3926881859325;0,78077406739132;2,04247966849702;0,0287617854281709;0,778008910235066;0,00881237725910902;0,605297864405156;0,0137116857797417;3,08456624281711;8,95331892176513;80;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"30";"Palestinian National Authority";"Girl";"BSDGSLM";3114;51499,4158220001;2939,56872905591;53605,2994560002;3038,80946502812;51,3705435877745;2,7301897049448;48,8652577680233;2,69987914119185;2,00246869182826;0,0298707231872018;0,832470237051564;0,00521594082793251;0,693006695576686;0,00868412670250177;4,00933783286465;3,92849896441402;66;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"31";"Palestinian National Authority";"Boy";"BSDGSLM";2856;48751,4521369995;2642,28046462919;56094,9291;2944,93956759559;48,6294564122255;2,7301897049448;51,1347422319767;2,69987914119185;1,921217613104;0,0258458034233587;0,83242001277321;0,00655019740517054;0,692923077665352;0,0109047735212393;2,753298202107;13,0911600760005;71;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"32";"Hong Kong, SAR";"Girl";"BSDGSLM";2050;25132,9155550002;950,534246676867;25561,6001;951,147516293752;47,280871531534;1,61220984408011;46,8440632375725;1,58186688602014;2,39508790809684;0,021467605435442;0,694675630261447;0,010112309170734;0,482574231279139;0,0140489536994065;1,95774869270577;1,67706459424659;69;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"33";"Hong Kong, SAR";"Boy";"BSDGSLM";2045;25828,1003210001;967,142250014483;26699,7446230001;966,708779680701;48,5886760932447;1,61673720367523;48,9298213200219;1,59293133059608;2,12958813119827;0,0274691959672037;0,759645473283046;0,00965041453614194;0,577061245079423;0,0146604873745205;2,67401167561636;3,26461662576778;64;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"34";"Hong Kong, SAR";"<Other>";"BSDGSLM";194;2195,609078;192,087086176088;2306,082467;202,176766813739;4,13045237522133;0,356408320928372;4,22611544240555;0,366129448126551;2,38720945978891;0,0672158927520023;0,754151785109283;0,0350237545468122;0,568744914983519;0,052806072393661;1,5410905085357;4,79052204684231;60;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"35";"Hungary";"Girl";"BSDGSLM";2658;42438,3480530001;1110,05660453467;42687,4745370001;1120,95123556467;50,17596579716;1,0549242312711;50,0449628194722;1,04643938598458;2,58907657781069;0,0164662822831997;0,645742422031901;0,0120968528277027;0,416983275611626;0,0156224134336711;1,72833312072359;0,583605581501584;80;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"36";"Hungary";"Boy";"BSDGSLM";2673;42140,687704;1062,07949130366;42610,769546;1059,4404010885;49,82403420284;1,0549242312711;49,9550371805277;1,04643938598458;2,44344609545198;0,0214461795582892;0,704433446635768;0,00975431374717979;0,496226480739148;0,0137420780451308;2,47752986325421;1,10319960659835;80;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"37";"Iran, Islamic Republic of";"Girl";"BSDGSLM";3055;585699,379434011;17273,5958228429;590307,713939012;17386,910856879;48,5942332432649;1,38723195184052;48,5497587372757;1,37934248169337;2,0847278720509;0,0288477697773245;0,810567833406967;0,00670391040561965;0,657020212554064;0,0108674675214903;3,86951888992189;0,780666489050169;59;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"38";"Iran, Islamic Republic of";"Boy";"BSDGSLM";3112;619586,392855006;18194,8922400467;625574,155080006;17966,5162891901;51,4057667567351;1,38723195184051;51,4502412627243;1,37934248169337;1,88411981152109;0,0237403345937611;0,785365422792757;0,00644391309810893;0,616798847318445;0,0101215482802517;2,84360786016111;0,957162660313901;63;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"39";"Ireland";"Girl";"BSDGSLM";2277;32222,6829960001;1202,51218454543;32283,9520680001;1199,35196780581;45,9812812798848;1,52448821621127;45,769985586492;1,53577208404109;2,54144203184959;0,024517534586697;0,64526190304108;0,0145503040233473;0,416362923516196;0,018768935208223;3,28733962422249;0,189781820611517;73;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"40";"Ireland";"Boy";"BSDGSLM";2565;35586,9277130002;1229,89388704892;35934,9363090002;1276,64064104661;50,7820076081657;1,50163023616198;50,9461020586981;1,49901909365501;2,44245926138904;0,023808204003207;0,699147579392356;0,0130937248189551;0,488807337770191;0,0183061456302415;2,97442431784881;0,96844083152817;70;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"41";"Ireland";"<Other>";"BSDGSLM";173;2268,216831;259,458290368146;2316,314233;262,474318464398;3,2367111119495;0,331547721593067;3,28391235480991;0,330545851405104;2,43143223241517;0,0900537727520028;0,764098947236718;0,0632715204198048;0,58384720116826;0,0958273514257698;2,40298314511244;2,07646274045064;72;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"42";"Israel";"Girl";"BSDGSLM";2542;54186,16585;1225,91162720558;55044,8639679997;1237,36957399119;50,400222064533;0,979856936589354;49,9188810415208;0,980083304574703;2,42486715660469;0,0212238831984783;0,732262176506106;0,0108928896061989;0,53620789514146;0,0159525016993496;2,13546292508709;1,55999680278836;92;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"43";"Israel";"Boy";"BSDGSLM";2488;53325,5942779998;1150,51490366928;55223,7614889999;1130,11223766089;49,5997779354669;0,979856936589361;50,0811189584792;0,980083304574702;2,31988694721472;0,0207187749530113;0,753514932057485;0,00934217992709672;0,567784752833597;0,0140787389568466;1,88102599079512;3,43722911989271;92;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"44";"Italy";"Girl";"BSDGSLM";2207;257012,898665;8077,58370871688;260323,307551;8072,49726982123;49,2715155129799;0,728129758543933;49,1134209698384;0,72474955789597;2,54839887932906;0,0197729832148746;0,681528215276367;0,0120451668856081;0,46448070821779;0,0164175771476113;1,85771482919477;1,27165289852176;76;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"45";"Italy";"Boy";"BSDGSLM";2283;264612,823599;7681,14758048687;269721,845912999;8172,59252395275;50,7284844870201;0,728129758543927;50,8865790301616;0,724749557895971;2,43935761700341;0,0220574105686302;0,694085680257954;0,011314152448586;0,481754931539147;0,0157053940599516;2,30562565825448;1,89418187344304;76;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"46";"Ivory Coast";"Girl";"BSDGSLM";3987;193396,8714;9282,66643219874;194640,172109;9288,2835739477;49,4501403825275;1,38881766114248;49,4586711063087;1,38300947180588;1,66187478466108;0,0278452792348649;0,696403307934008;0,0122752197693861;0,484977567301429;0,0170786697087553;6,3742301430312;0,638768808888919;77;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"47";"Ivory Coast";"Boy";"BSDGSLM";4206;197697,814892001;6057,11925751294;198900,874901001;6047,08376649235;50,5498596174725;1,38881766114248;50,5413288936913;1,38300947180588;1,55091646266551;0,0224899993525413;0,644811378127957;0,0101938115739318;0,415781713363275;0,0131447569544368;5,11661535304515;0,604854055870193;77;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
"48";"Japan";"Girl";"BSDGSLM";1770;486651,243912;19874,4849094123;497742,501264;19884,9038556607;48,300900357147;1,33975080520337;47,9933093763009;1,29014699872145;2,60814850296472;0,0156894652793351;0,604808929413562;0,0126882916572955;0,365793841098379;0,0153462365828416;1,19111354204815;2,22831229477775;68;"TOTWGT";250;"JRR";"FULL";"04-MAR-26";"13h 0m";"NONE"
