IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Czech Republic;BSDAGE;112883,350479998;14,3404256439465;,447298113333584;1925,38284755045;,00780498357978515;,00620846993914111;8110;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Czech Republic;BSMMAT0_;112883,350479998;518,184291463854;83,6316566603811;1925,38284755045;2,27185332012102;1,42040126533523;8110;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
England;BSDAGE;582238,003543996;14,0332542805923;,305358346521408;13539,9755773675;,00624749309049889;,00686012504112108;4234;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
England;BSMMAT0_;582238,003543996;524,78318583742;96,7046245301912;13539,9755773675;4,53746507095748;2,65319224548856;4234;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Finland;BSDAGE;58126,8879190002;14,8606362557441;,346462842789214;870,487891247159;,00664473681821359;,00642490790018686;5880;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Finland;BSMMAT0_;58126,8879190002;503,801263384202;81,812943241828;870,487891247159;2,5538041511748;1,41564319501709;5880;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
France;BSDAGE;821590,792135006;13,913219924361;,388164331077013;13322,9455506438;,00726339712065472;,00887774323126825;4511;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
France;BSMMAT0_;821590,792135006;478,681215195755;81,2786187110834;13322,9455506438;3,1388117453869;1,8153624654089;4511;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Georgia;BSDAGE;41916,0811850004;14,0765652070381;,299570867134193;576,930043381492;,00773436209958679;,0140647175841088;4872;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Georgia;BSMMAT0_;41916,0811850004;466,754640788934;92,0773692101068;576,930043381492;3,216818607364;2,1256968071705;4872;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
