ASBGSEX;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
GIRL;10;ASMMAT0;IDCNTRY;Australia;Norway;393,264623111452;6,3300379902988;346,030097615575;4,45614455586166;-47,2345254958773;7,74122763270539;-6,10168409159282;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Philippines;393,264623111452;6,3300379902988;224,362894140682;8,11045523742268;-168,90172897077;10,2882877640968;-16,416893932554;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Russian Federation;393,264623111452;6,3300379902988;427,619638539632;7,44206154090078;34,3550154281795;9,77003894245977;3,5163642264388;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Singapore;393,264623111452;6,3300379902988;494,625915912838;10,8535656357671;101,361292801386;12,5646037728426;8,06720964973608;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Slovenia;393,264623111452;6,3300379902988;374,120693870976;6,09974723248959;-19,1439292404758;8,79069378711888;-2,17774952740677;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Tunisia;393,264623111452;6,3300379902988;213,402945601965;9,85262964929653;-179,861677509487;11,7108365185764;-15,3585678720884;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;United States;393,264623111452;6,3300379902988;416,550624204819;3,55313615987845;23,2860010933668;7,25907415096869;3,20784725559793;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Yemen;393,264623111452;6,3300379902988;129,982692284322;6,9282732995037;-263,28193082713;9,38458053784195;-28,0547361456896;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;England;393,264623111452;6,3300379902988;419,460848667381;4,74778007744697;26,1962255559285;7,91269844126695;3,31065637726162;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Scotland;393,264623111452;6,3300379902988;387,998142110322;4,42526765641384;-5,26648100113055;7,72349498540192;-,681877959535762;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
