IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Armenia;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;BOY;126,362844120689;5,32889812087522;126,362844120689;5,32889812087522;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;GIRL;213,430411139908;4,02344062344651;213,430411139908;4,02344062344651;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;BOY;213,430411139908;4,02344062344651;231,815848388816;6,72752044652182;18,3854372489087;5,93687839756539;3,09681890342377;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;GIRL;231,815848388816;6,72752044652182;213,430411139908;4,02344062344651;-18,3854372489087;5,93687839756539;-3,09681890342377;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;BOY;231,815848388816;6,72752044652182;231,815848388816;6,72752044652182;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;GIRL;102,385786696156;5,07095754002537;102,385786696156;5,07095754002537;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;BOY;102,385786696156;5,07095754002537;105,453004268127;4,69475669780249;3,06721757197108;5,1975475764331;,590127849118413;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;GIRL;105,453004268127;4,69475669780249;102,385786696156;5,07095754002537;-3,06721757197108;5,1975475764331;-,590127849118413;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;BOY;105,453004268127;4,69475669780249;105,453004268127;4,69475669780249;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;GIRL;79,5458225291543;2,55156523306825;79,5458225291543;2,55156523306825;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
