IDCNTRY;Variable;RASDGHRL;RASDGSLR;RASDGHRL.se;RASDGSLR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Slovenia;RASDGSLR;,072548991018892;1;,0206453390627881;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;RASDGHRL;1;,0245442587269644;0;,0171196180509342; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;RASDGSLR;,0245442587269644;1;,0171196180509342;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);RASDGHRL;1;-,0156874821754438;0;,0298015504810717; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Eng/Afr);RASDGSLR;-,0156874821754438;1;,0298015504810717;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);RASDGHRL;1;-,0967164613458208;0;,0479702289698565; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa (Gauteng);RASDGSLR;-,0967164613458208;1;,0479702289698565;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;RASDGHRL;1;,0763063779922606;0;,0134406945416239; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;RASDGSLR;,0763063779922606;1;,0134406945416239;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);RASDGHRL;1;,0423116282176498;0;,0211697813676761; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain (Andalucia);RASDGSLR;,0423116282176498;1;,0211697813676761;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid;RASDGHRL;1;,0694891575847491;0;,0185146463460143; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid;RASDGSLR;,0694891575847491;1;,0185146463460143;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid, Bilingual;RASDGHRL;1;,0498872559709802;0;,0269878191496598; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain, Madrid, Bilingual;RASDGSLR;,0498872559709802;1;,0269878191496598;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;RASDGHRL;1;,16066779106841;0;,0170124975594154; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;RASDGSLR;,16066779106841;1;,0170124975594154;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;RASDGHRL;1;,0379637253154876;0;,0183159116092091; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;RASDGSLR;,0379637253154876;1;,0183159116092091;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;RASDGHRL;1;,0315326575840117;0;,0115792427154154; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;RASDGSLR;,0315326575840117;1;,0115792427154154;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);RASDGHRL;1;,0739191966655601;0;,0186195278177837; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Abu Dhabi);RASDGSLR;,0739191966655601;1;,0186195278177837;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);RASDGHRL;1;,0054233033970449;0;,0173368106997825; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates (Dubai);RASDGSLR;,0054233033970449;1;,0173368106997825;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Table Average;RASDGHRL;1;,0855311984205542;0;,00279844580531441; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Table Average;RASDGSLR;,0855311984205542;1;,00279844580531441;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
