"";"ASBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"16";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Hungary";47,1612013545136;0,786131244129142;49,4637644386078;0,82388548746668;2,30256308409425;1,13876671423705;2,02197961646334;1,33606239437393;0,0171340204012751;1,70017439365271;0,0261237914655265;0,364111999278777;0,0312414329960331;11,6547790661526;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"17";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Iran, Islamic Republic of";47,1612013545136;0,786131244129142;46,1358425624908;1,12830252118989;-1,0253587920228;1,37516141318738;-0,745627954791287;1,33606239437393;0,0171340204012751;1,26605720860995;0,0253806893063253;-0,0700051857639807;0,0306227700375967;-2,28605007574536;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"18";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Ireland";47,1612013545136;0,786131244129142;50,1288760087363;1,57433613255959;2,9676746542227;1,75969786931698;1,68646828865832;1,33606239437393;0,0171340204012751;1,54817656291332;0,0207043347527098;0,212114168539394;0,0268746001396035;7,89273765702707;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"19";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Israel";47,1612013545136;0,786131244129142;50,7547897323382;1,47118305452241;3,59358837782461;1,66804733533252;2,15436834537326;1,33606239437393;0,0171340204012751;1,66612361319185;0,0275932549851919;0,330061218817919;0,0324801843558366;10,1619256591014;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"20";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Italy";47,1612013545136;0,786131244129142;48,8416045021092;0,854320138982927;1,68040314759561;1,1609759828988;1,44740560730625;1,33606239437393;0,0171340204012751;1,60084069485107;0,018645919729147;0,26477830047714;0,0253228153580344;10,4561162229985;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"21";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Kazakhstan";47,1612013545136;0,786131244129142;48,5878888962713;0,833966918691192;1,42668754175771;1,14608165261787;1,24483935197713;1,33606239437393;0,0171340204012751;1,28307109014769;0,0160001192916765;-0,0529913042262384;0,0234430900791511;-2,26042318002121;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"22";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Kuwait";47,1612013545136;0,786131244129142;51,9843062666851;1,85241507054849;4,82310491217152;2,01232301745798;2,39678464656444;1,33606239437393;0,0171340204012751;1,40874249203894;0,0268361644277876;0,0726800976650104;0,0318395096744055;2,282701536809;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"23";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Latvia";47,1612013545136;0,786131244129142;51,0565898344198;1,1168691839645;3,8953884799062;1,36579614404404;2,8521009499794;1,33606239437393;0,0171340204012751;1,71571556870939;0,0225791969266601;0,379653174335459;0,0283442196746393;13,394377361362;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"24";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Lithuania";47,1612013545136;0,786131244129142;50,3742373148381;1,0100859501296;3,21303596032452;1,27995154581931;2,51027937019898;1,33606239437393;0,0171340204012751;1,53943390865136;0,0200966205422567;0,203371514277427;0,0264092561866245;7,70076646007276;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"25";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Macao SAR";47,1612013545136;0,786131244129142;49,15130817008;0,505555193450557;1,9901068155664;0,934659503038867;2,12923188508323;1,33606239437393;0,0171340204012751;1,80611221564939;0,0126536940956763;0,470049821275463;0,0213000147741325;22,0680514196783;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
