"";"IDCNTRY";"Variable";"Mean";"stdev";"TOTWGT";"NObs";"TOTWGT.se";"mean.se";"stdev.se";"xvar";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Australia";"BSDGHER";1,70158934085174;0,679695774546344;277499,060456997;7706;6641,74916430858;0,0180309659943189;0,00755028043581538;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"2";"Australia";"BSDGSLM";2,47764713467758;0,67783301580038;277499,060456997;7706;6641,74916430858;0,0147905274720905;0,00874600696897297;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"3";"Austria";"BSDGHER";1,82635438584353;0,723054624212774;77270,6919330007;4521;1318,64996197237;0,0184405393007873;0,00752029111280977;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"4";"Austria";"BSDGSLM";2,51034455366585;0,674207140025254;77270,6919330007;4521;1318,64996197237;0,0125944183014511;0,00926894463176828;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"5";"Azerbaijan, Republic of";"BSDGHER";2,23447887156422;0,655769083218989;127329,549583;5440;2927,56320280224;0,0171127784098923;0,00694160682481872;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"6";"Azerbaijan, Republic of";"BSDGSLM";1,85018015271024;0,813420877082597;127329,549583;5440;2927,56320280224;0,0204809525499328;0,00538225684269633;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"7";"Bahrain";"BSDGHER";2,11866977165112;0,712166929100583;16717,5513730001;4725;153,354086303513;0,0135371752011892;0,00586404538423213;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"8";"Bahrain";"BSDGSLM";2,13381181424768;0,815875090629119;16717,5513730001;4725;153,354086303513;0,0170572501808586;0,00550204367215304;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"9";"Brazil";"BSDGHER";2,49148094170514;0,638099116882658;2347234,07306811;20486;36223,0800778099;0,0173669475925717;0,0129895250799963;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"10";"Brazil";"BSDGSLM";2,31682378481485;0,755344967884652;2347234,07306811;20486;36223,0800778099;0,0159165981402854;0,00484333846435629;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"11";"Chile";"BSDGHER";2,17124033736499;0,679260147353226;235095,657825002;4278;4971,9649008008;0,0163058003106574;0,00724801511008584;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"12";"Chile";"BSDGSLM";2,31326214706534;0,741971741919128;235095,657825002;4278;4971,9649008008;0,0198752703572276;0,00907571629421567;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"13";"Chinese Taipei";"BSDGHER";1,83917244295637;0,736786671761715;179477,363585005;5427;1732,00543636827;0,0168619726153529;0,00564772295591721;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"14";"Chinese Taipei";"BSDGSLM";2,49247898896248;0,69547977737312;179477,363585005;5427;1732,00543636827;0,0138720464388772;0,00821944328862311;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"15";"Cyprus";"BSDGHER";1,71682679424095;0,700368130491568;9027,183314;3944;98,5680594442007;0,0149401451080982;0,00597049917942555;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"16";"Cyprus";"BSDGSLM";2,38882882632464;0,749102616757318;9027,183314;3944;98,5680594442007;0,0144304718370428;0,00736911809140329;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"17";"Czech Republic";"BSDGHER";1,82686315105952;0,664231749512613;110264,441295;7933;1857,95335306914;0,0158309622963872;0,00602010797784537;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"18";"Czech Republic";"BSDGSLM";2,59261886612368;0,627054457322791;110264,441295;7933;1857,95335306914;0,0139334391595198;0,00920640663952991;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"19";"England";"BSDGHER";1,83554595375704;0,727671005227728;536072,230072997;3942;17360,1267399721;0,0252411568220446;0,00737168402405848;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"20";"England";"BSDGSLM";2,47675826464879;0,684045986930511;536072,230072997;3942;17360,1267399721;0,0223114787072528;0,0122638774818547;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"21";"Finland";"BSDGHER";1,69316459927584;0,672713943595058;54688,2721269999;5558;882,912895915706;0,01667964967634;0,00574049609604281;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"22";"Finland";"BSDGSLM";2,62239779808651;0,606317473058563;54688,2721269999;5558;882,912895915706;0,0121935924206465;0,00919125680301921;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"23";"France";"BSDGHER";1,87361217306744;0,722928260980571;775909,530102992;4279;15175,8503622172;0,0210389314467398;0,00698470921632973;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"24";"France";"BSDGSLM";2,47501650215469;0,662980647797866;775909,530102992;4279;15175,8503622172;0,0168706313185157;0,00911707527060667;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"25";"Georgia";"BSDGHER";1,79036182093742;0,695350178293776;38608,7449490002;4493;633,379731243267;0,0174525374164978;0,0073743697526689;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"26";"Georgia";"BSDGSLM";2,12363199415845;0,775604147537835;38608,7449490002;4493;633,379731243267;0,0237594676098854;0,00735565723811584;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"27";"Hong Kong, SAR";"BSDGHER";2,05299197277073;0,761184150744921;52543,0637399991;4235;875,930570931243;0,018642187601045;0,00567524867587848;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"28";"Hong Kong, SAR";"BSDGSLM";2,2658165777716;0,740207075365745;52543,0637399991;4235;875,930570931243;0,0196987735885332;0,00865012747900386;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"29";"Hungary";"BSDGHER";1,74013267416289;0,722331235883905;84358,5454400005;5316;1249,5735349612;0,0251496813151826;0,0116952639921332;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"30";"Hungary";"BSDGSLM";2,51603169184515;0,679780351677302;84358,5454400005;5316;1249,5735349612;0,0156007836329725;0,00812806603243891;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"31";"Iran, Islamic Republic of";"BSDGHER";2,28162753722377;0,725172102232241;1195330,749633;6122;12096,9049496298;0,0220924634787359;0,00714522053312438;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"32";"Iran, Islamic Republic of";"BSDGSLM";1,9837120631114;0,804676911932139;1195330,749633;6122;12096,9049496298;0,0183711812211253;0,00394581401990317;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"33";"Ireland";"BSDGHER";1,77109206611438;0,708574691243653;69924,2719040003;5001;1374,29568058577;0,0188801045866669;0,00690712528476641;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"34";"Ireland";"BSDGSLM";2,48792824338367;0,678770219818953;69924,2719040003;5001;1374,29568058577;0,0217333760462251;0,0127217391771576;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"35";"Israel";"BSDGHER";1,80777872247418;0,602537299374577;75650,9954370002;3583;1409,86554790813;0,016772305924992;0,00817481146808938;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"36";"Israel";"BSDGSLM";2,32559962485243;0,757825414798544;75650,9954370002;3583;1409,86554790813;0,0188125962220488;0,00809731382047115;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"37";"Italy";"BSDGHER";1,91099643715324;0,756331742860705;520232,245833997;4476;13830,3120995278;0,0268265993423469;0,00643303657877633;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"38";"Italy";"BSDGSLM";2,49242265730823;0,690516417159;520232,245833997;4476;13830,3120995278;0,0163551607891252;0,00842702038769393;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"39";"Ivory Coast";"BSDGHER";2,80302130630033;0,448813954103623;380737,689932008;7972;11314,2644745958;0,0249858478688614;0,0321876554478955;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"40";"Ivory Coast";"BSDGSLM";1,60559445524336;0,672969731192216;380737,689932008;7972;11314,2644745958;0,0220466371834461;0,00891408774076102;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
