"";"IDCNTRY";"ASBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"20";"Denmark";"Boy";"ASRREA0";1688;26977,150702;738,897622603792;48,941650876862;0,89512473585977;541,266483873112;2,59692103724544;"536 to 546";4,96593185952084;1,77806701416711;66,7177696812348;1,61250893183019;4451,546514274;215,291722918538;1,67423245164126;1,52743683654091;1,8830518679278;1,35805304310774;2,55728431956907;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"21";"Finland";"Girl";"ASRREA0";2412;27376,6832549999;863,352427890332;49,8994951579846;0,88483697207022;576,959095763563;1,93473806264151;"573 to 581";3,14066399254217;0,602547378491642;64,1210317584646;1,59265392173158;4112,25807296666;204,273068933882;1,35341757524312;1,62221899074669;1,84212211772661;1,19185349974478;2,19553969296974;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"22";"Finland";"Boy";"ASRREA0";2476;27486,9645;842,236907603838;50,1005048420154;0,884836972070216;555,24280321832;2,30805735658228;"551 to 560";5,13645179237964;0,190676968893956;68,2536068160517;2,14114442401375;4659,57703685245;291,978624964669;1,10132168032581;2,57029605403862;2,7294010888428;1,03712231256153;2,83072276916861;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"23";"France";"Girl";"ASRREA0";2375;389878,983964;13052,7981974281;50,4967659426377;0,945644983287179;515,32087821722;2,6556161354963;"510 to 521";6,56977596628805;0,482521092820246;67,4289632150473;1,62708216100498;4546,99806897187;219,443370382401;1,25203168729456;2,94207758506428;3,43154267568497;1,07344559316729;3,68357436297953;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"24";"France";"Boy";"ASRREA0";2331;382208,053068999;11086,2143569356;49,5032340573623;0,94564498328718;507,459098482911;2,46157339536615;"503 to 512";5,83463954000629;0,224704040768148;71,1353244571505;1,8135938189195;5061,3341612169;258,018584793247;1,10348755927718;2,52892179702193;2,68714618212141;1,03851206903656;2,79063374139859;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"25";"Georgia";"Girl";"ASRREA0";2805;20682,150817;464,029994878377;49,3759691611319;0,719590817709;498,069920217691;2,73102910361649;"493 to 503";6,53678164093984;0,921738323860427;74,9214212562919;1,73524105530962;5613,44882885925;260,157308571968;1,4605860100009;2,5516941479491;3,26638276429472;1,14100797219347;3,72696877429562;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"26";"Georgia";"Boy";"ASRREA0";2933;21204,927388;426,366794908377;50,6240308388681;0,719590817708999;478,821526506385;3,61984078254058;"472 to 486";11,7022011129359;1,40104617800813;80,9587863841981;2,19979406057777;6554,97113624944;356,618958837158;1,62689344539952;3,60380353697027;5,23611090740503;1,11972501279775;5,86300435280455;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"27";"Germany";"Girl";"ASRREA0";1749;292082,694658999;7837,34445865471;49,8231370413357;0,694311005522729;547,368528429776;3,18579298044462;"541 to 554";9,59221822192531;0,55705869232488;74,3603887439131;2,72532674752609;5529,89759432729;404,614016146819;1,17618692503016;2,72917557156773;3,03383369835952;1,05807402202877;3,21002062338968;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"28";"Germany";"Boy";"ASRREA0";1757;294156,374182999;8799,87547598907;50,1768629586643;0,694311005522736;537,021979734403;3,05240301080329;"531 to 543";8,6345270349644;0,682637105396584;75,7373044779765;2,61331099547344;5737,35363627147;395,014531666356;1,20904993316069;2,3599328795971;2,64422675717991;1,07905900376851;2,8532766903406;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"29";"Hong Kong, SAR";"Girl";"ASRREA0";1625;23773,4815059999;824,303400035643;48,8140921097145;1,55238286576557;573,618056489703;2,96685620965941;"568 to 579";8,46070214002041;0,34153362877418;60,7336513236287;1,56937277015777;3688,66524125726;190,585412140471;1,15045880025938;3,37059093523589;3,72726720325724;1,04036705501765;3,87772600351662;0;69;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"30";"Hong Kong, SAR";"Boy";"ASRREA0";1681;24928,6052859999;998,431499576565;51,1859078902855;1,55238286576557;564,583242930035;3,17594534872192;"558 to 571";9,55208481194953;0,53454404611885;66,0328995535186;2,10328057588869;4360,48728212935;277,827819551984;1,20607067132346;3,22408121894178;3,68239912880701;1,05596098198899;3,88846980013046;0;68;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"31";"Hungary";"Girl";"ASRREA0";2287;43876,4734209999;1181,35987921412;49,4175409209113;0,82998674361302;560,650905685079;3,38591809120758;"554 to 567";10,7108921472449;0,753549173121887;74,6244031801944;2,09632313746267;5568,8979926369;312,79139764389;1,30946283469519;3,59547787605357;4,39868181696576;1,07035353944029;4,70814465166094;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"32";"Hungary";"Boy";"ASRREA0";2331;44910,772167;1229,73909610927;50,5824590790887;0,829986743613026;547,817956064036;3,12072112279684;"542 to 554";9,37548654595694;0,363413780313443;74,108660138709;2,20707601119202;5493,06716730106;327,520085117415;1,15421575890303;3,58055447488216;3,97851664161671;1,03876212488089;4,13273240051974;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"33";"Iran, Islamic Republic of";"Girl";"ASRREA0";2141;553744,241029002;20274,7446467397;46,1844335673342;1,12494705593244;455,051209118067;4,2693870198188;"447 to 463";16,8662527379358;1,36141278706146;91,5997528214739;4,06616464214218;8390,61106728219;744,355465219161;1,34738647206093;3,4519297180042;4,30369693248303;1,08071815406865;4,65108340454397;0;52;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"34";"Iran, Islamic Republic of";"Boy";"ASRREA0";2241;645240,348057003;25406,588839476;53,8155664326657;1,12494705593244;410,994704187774;5,57609225941851;"400 to 422";28,0145364827381;3,07826840280891;108,030486053198;4,0713764042364;11674,6366201662;880,627268175791;1,59088772654207;3,75162010845198;5,3775186586426;1,10988111135466;5,96840638518467;0;54;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"35";"Ireland";"Girl";"ASRREA0";2240;30687,33222;1317,08270315336;49,993318085055;1,57290588625034;572,692866650694;2,86563167602609;"567 to 578";8,04524893291216;0,16659596973194;72,7536001738515;1,76429181721573;5293,31266661204;256,885078611772;1,07049932541363;3,24619654262241;3,40455188362371;1,0207073729006;3,47505120903733;0;68;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"36";"Ireland";"Boy";"ASRREA0";2353;30695,535322;1275,62882353488;50,006681914945;1,57290588625035;561,002101239677;3,2790193790662;"555 to 567";10,5353870682959;0,216581019995779;73,9954583262121;2,27300493294546;5475,95676739912;335,856821274669;1,09306412773089;4,226727421028;4,52701999389132;1,02055748104856;4,62008412162221;0;70;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
