IDCNTRY;ASBGSEX;dvar;n;TOTWGT;sumw_se;pct;pct_se;mnpv;mnpv_se;mnpv_ci;mnx_svr;mnx_ivr;sdpv;sdpv_se;vrpv;vrpv_se;DEff1;DEff2;DEff3;DEff4;DEff5;pctmiss;nvarstrat;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
England;BOY;ASMMAT0;1758;290514,351647578;9933,35608122006;50,4464641729752;,936962074561622;532,394229240916;4,58552742260212;523 to 541;19,9522396113948;1,07482213204118;90,1789340748765;2,48376969905544;8132,73314519523;451,360790378572;1,23233730584714;3,68834334666172;4,31294579701718;1,05386974860844;4,54528310286432;0;62;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Scotland;GIRL;ASMMAT0;1991;28590,0125339233;1136,76855290492;51,0524782235499;,996123564616911;485,502948141294;3,1725886782394;479 to 492;8,94170039298132;1,12361852831149;74,1511441403374;1,8115786524228;5498,99279161606;269,76314136702;1,40682440851331;2,59045322648588;3,23748841961908;1,12566049844317;3,6443128281324;0;63;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Scotland;BOY;ASMMAT0;1930;27411,2111652136;1021,11324963657;48,9475217764501;,99612356461692;495,864350378801;4,44274461069922;487 to 505;19,0646657428595;,673313933037491;80,3459943691865;2,78407518676763;6456,42285907309;452,718380932325;1,20127180625045;4,91164257945448;5,69894594682747;1,03531737414749;5,90021775307793;0;63;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);GIRL;ASMMAT0;2353;33053,7170438292;1124,90009024167;50,0566906734434;,961720842991596;549,582143562692;1,77591810059773;546 to 553;3,04158105237716;,112304047653468;57,4333226532058;1,09609344027311;3298,77980756775;126,379467620375;1,0801058086758;2,08280286020364;2,16954165895672;1,03692291795601;2,24964746763252;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);BOY;ASMMAT0;2344;32978,848431709;1083,39046968976;49,9433093265566;,961720842991571;551,778334171062;2,50508051616489;547 to 557;6,24412763011513;,0313007623537979;60,3946238550166;1,66862785418303;3647,525272966;201,518105099061;1,02011473025316;3,95324433440104;4,0126480475592;1,00501283192913;4,03276277781236;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);GIRL;ASMMAT0;2172;68161,3446797114;2296,18342920889;48,6691178075052;1,1174236438949;505,261917515363;3,63558443095404;498 to 512;11,9017553690376;1,31571878555776;68,596601682057;1,72133162359975;4705,56396658901;236,034232296276;1,60731109438153;3,79574183812266;5,49362687344115;1,11054829684877;6,10093796782268;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);BOY;ASMMAT0;2148;71889,1591106004;3268,63609348256;51,3308821924948;1,11742364389489;516,64474723398;4,665631843918;508 to 526;21,3977722657029;,370348237278791;72,3208870549832;2,65317293725494;5230,61768579574;382,255854542072;1,15208682061301;7,75920137950533;8,78718682719736;1,01730779413296;8,93927364781037;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);GIRL;ASMMAT0;2147;42503,8606690406;1139,85548266137;49,7713010368106;,894764638375777;502,674494089161;2,68777369194379;497 to 508;6,77425514156124;,449872277543932;64,4639092548331;1,51633146679108;4155,86028610716;194,822730058539;1,2324129574605;3,0283094187144;3,49971480936281;1,06640911334796;3,73212776682331;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);BOY;ASMMAT0;2148;42894,4708666467;1357,3988216712;50,2286989631894;,894764638375775;509,280048240451;2,80188060640824;504 to 515;7,35029721044694;,500237722119686;66,3219473475937;1,43032636649201;4398,73956648519;189,141458848089;1,24427693680708;3,08097536905524;3,58930965777903;1,0680568020309;3,83358659458611;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States (Indiana);GIRL;ASMMAT0;1147;41492,292232543;1575,47645984302;51,8775812660498;1,15369392263626;531,955657693001;3,09107052355926;526 to 538;8,91524147001747;,639475511599471;61,9821081579253;2,13492682286581;3842,60744653376;260,123666969106;1,19088039098718;2,39489832952875;2,66115706805655;1,07172834451541;2,85203745904373;0;28;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States (Indiana);BOY;ASMMAT0;1081;38488,8696102833;1398,22542218449;48,1224187339502;1,15369392263626;533,994946007835;3,41309620387551;527 to 541;11,5248810940332;,124344602876186;68,9877364249144;2,47565822157338;4760,21167817002;338,428526533939;1,02823750807671;2,57278234005734;2,61719379408761;1,01078923087029;2,64543130216431;0;28;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Table Average;GIRL;ASMMAT0; ; ; ;48,6202641057261;,23294638785144;489,54862710784;,812803586550774;488 to 491; ; ;77,540383735105;,480518953330469;6199,10178528315;88,0618002834237; ; ; ; ; ; ; ;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Table Average;BOY;ASMMAT0; ; ; ;51,3797358942739;,23294638785144;491,250502076862;,790327723061332;490 to 493; ; ;81,165149300172;,467255958846574;6753,37854248498;85,456675169147; ; ; ; ; ; ; ;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
