IDCNTRY;ASBGSEX;dvar;n;TOTWGT;sumw_se;pct;pct_se;mnpv;mnpv_se;mnpv_ci;mnx_svr;mnx_ivr;sdpv;sdpv_se;vrpv;vrpv_se;DEff1;DEff2;DEff3;DEff4;DEff5;pctmiss;nvarstrat;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Hungary;GIRL;ASMMAT0;1641;49992,0090829835;1347,68097246126;49,5268859409301;,941262785910459;527,14623162141;3,82609654253755;520 to 535;14,0493592804448;,589655472373051;76,8657227279263;2,57241781772879;5909,33361945361;401,76984887083;1,1637451348116;3,49320474800166;3,90145489557612;1,04197027498569;4,06520003038773;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;BOY;ASMMAT0;1654;50947,1235380502;1464,18788157369;50,4731140590699;,941262785910458;530,098626062673;3,34024740518962;524 to 537;10,4613493542349;,695903373641136;77,829651178048;1,9890397360473;6057,53477090804;308,880616207893;1,19001528237698;2,56002567747275;2,85645439709307;1,06652137789084;3,04646967947005;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;GIRL;ASMMAT0;1655;516206,561269729;56363,2955835365;39,0458776776562;4,2036338037862;393,988157197153;6,54194770315694;381 to 407;38,587581885301;4,20949786553935;82,5585890531316;2,88896132694097;6816,99503818289;478,166963700974;2,02196333258952;5,13861263797297;9,36812300177293;1,1090894443205;10,3900863343624;0;53;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;BOY;ASMMAT0;2691;805844,810020425;64767,4057224925;60,9541223223438;4,20363380378621;385,906378515464;5,50286020624226;375 to 397;29,2943909650045;,987079484440112;87,5080076031834;2,64374846356731;7659,46230545525;462,065512630126;1,34679077808589;7,8993660837639;10,2920026162518;1,03369517002826;10,6387933943376;0;66;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;GIRL;ASMMAT0;2065;247858,634827011;4861,21682338376;48,2538883264973;,825131728971922;498,335901035308;4,11138844655263;490 to 506;16,5101882519252;,393326706521228;80,4529014010636;2,94340881470512;6473,25239885869;472,662458706948;1,12547319321421;4,7911457432072;5,26683290554786;1,02382327206205;5,39230609876207;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;BOY;ASMMAT0;2217;265796,623687992;5435,42501949321;51,7461116735027;,82513172897192;506,88964782092;3,71097792721086;500 to 514;13,4701312834218;,301225892824336;83,2977657006054;1,97877829705454;6939,13287803;332,090462054066;1,09623937401544;4,01357917704005;4,30360415058435;1,02236250608745;4,39984352459978;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;GIRL;ASMMAT0;2218;571294,137400387;6564,62692090695;48,8664300822209;,593808087119376;562,702554305728;1,82864587279661;559 to 566;2,95094144397647;,393004284119604;69,4248223987322;1,27383631150962;4819,97929694129;177,990835808174;1,18084797640738;1,30311156628353;1,35792867967157;1,13317928924744;1,53877665607895;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;BOY;ASMMAT0;2303;597799,116268749;9032,07366100196;51,1335699177791;,593808087119383;566,587705345258;2,09965186499503;562 to 571;4,15403536807037;,254502586106737;77,4313842994972;1,40767743238147;5995,9275331229;217,758438139303;1,09775292522566;1,54250842109613;1,59554020621783;1,06126635032117;1,69329313144349;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;GIRL;ASMMAT0;1782;14294,7238750689;429,719214497422;48,9452951678625;,912181923492962;536,320430778797;2,90288743391571;531 to 542;7,67079543110803;,755960022877693;69,4865426857936;1,89813302526085;4828,82265424395;263,625759335753;1,27897499188215;2,4314468591959;2,83078473511981;1,09855040845073;3,10975972700196;0;71;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;BOY;ASMMAT0;1856;14910,7877600179;442,604487863567;51,0547048321375;,912181923492966;535,657304156073;3,49815730755868;529 to 543;11,871632977113;,365471571313153;75,7417497183833;2,14242487952571;5736,84784188452;325,813809121494;1,11823831746153;3,54037235918621;3,84074171266216;1,03078528219477;3,95898003012368;0;71;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;GIRL;ASMMAT0;2063;20635,8620860708;767,68095933734;48,9203563692436;,926943797186652;535,104005098196;3,49429165576724;528 to 542;11,9460219311291;,264052244435465;72,5652827965576;2,32549802125927;5267,14670432225;343,508509616938;1,10342217729067;4,33411476479575;4,67893617310788;1,02210378031765;4,78235835039855;0;74;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;BOY;ASMMAT0;2140;21546,7048811736;798,465307064579;51,0796436307563;,926943797186638;535,807175459398;3,20523145334448;530 to 542;10,2061952893262;,0673133801825702;75,9126667047597;1,87246484630901;5763,53495817849;284,476937190424;1,02499345187215;3,72153872529245;3,78955937244124;1,00659534510896;3,81455282431339;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;GIRL;ASMMAT0;1977;27941,726636482;875,439319060615;49,5677187896529;,832807975606001;509,260751139874;5,24915852140586;499 to 520;27,3834602956466;,170204887201205;87,0613877535454;3,87175304586419;7580,71235213371;669,495672297415;1,04438831687131;6,88040532691698;7,14142662189993;1,00621560918027;7,18581493877124;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;BOY;ASMMAT0;1980;28429,0875118478;850,901741572998;50,4322812103471;,832807975606006;498,717642618845;5,16883027910614;489 to 509;25,0212310487313;1,69557540547316;87,2997769765461;3,53620875854444;7621,94028320347;620,697946453636;1,44047042853842;4,81814477710015;6,49992464329117;1,06776546694169;6,94039507182959;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;GIRL;ASMMAT0;1976;293009,578019695;14363,8377868469;48,408759295606;1,21390013164816;343,006989993919;6,00532389832573;331 to 355;33,6726025600089;2,39131256379328;91,1585267041318;2,10103860477487;8310,39666859055;382,769782779736;1,56859303045241;5,46673192426311;8,0064845652984;1,07101656486254;8,57507759575081;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;BOY;ASMMAT0;2125;312272,569846243;11344,8845342335;51,591240704394;1,21390013164816;350,133494583188;4,87555093508727;341 to 360;20,8312439209591;2,93975299967117;89,1715475840539;2,55692820514038;7953,2596464309;457,879876519073;1,78546098103368;3,55722065669306;5,56581770241879;1,14112229739259;6,35127868345248;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Netherlands;GIRL;ASMMAT0;1432;82706,4998975462;2792,44766615505;49,0821994887059;1,1683352001348;537,691680438601;2,66430580984242;532 to 543;5,53250339943452;1,56602204892556;55,079965967029;2,22520754523265;3034,90977549269;252,49034523639;1,73891606009847;1,92613515814602;2,61047130032196;1,28305848833019;3,34938736042044;0;65;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
