IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
England;ASDGSATR;1,63102546812498;,67802425304105;324670,271159998;1715;12044,9231733418;,0258528905912513;,0121115056000704;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;ASDHHER;1,92415864899895;,437346728665329;629275,227011016;3048;18723,284926564;,0132525336186507;,00972321572623395;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;ASDGSATR;1,4462978155345;,560109375033624;629275,227011016;3048;18723,284926564;,0129928372051248;,00698090604117665;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Germany;ASDHHER;1,8616808907529;,409942721795381;738645,571671997;6204;14044,307509484;,00983821918006792;,0071440749693915;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Germany;ASDGSATR;1,57984988699452;,655099077475244;738645,571671997;6204;14044,307509484;,0129696790317163;,00648966159595273;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;ASDHHER;1,99169731705592;,417101745947108;82066,4977319993;2081;2915,79203842694;,0186751418484446;,0126967657103959;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;ASDGSATR;1,42206086822558;,592469361935455;82066,4977319993;2081;2915,79203842694;,0201064946304086;,01166017234953;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASDHHER;2,10420321540341;,408759524990976;81281,6784319991;4630;2806,89467358493;,012322231292117;,00905166593976276;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASDGSATR;1,55083433843529;,58265405205864;81281,6784319991;4630;2806,89467358493;,0129216785243105;,00526757649553557;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASDHHER;1,82850395121189;,458808136692249;108851,139638;4318;2733,73874296764;,013454461477311;,00888912305863462;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASDGSATR;1,59328629056865;,657986706210783;108851,139638;4318;2733,73874296764;,0178866127409536;,0101660957015812;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASDHHER;1,79970580555528;,404689830070425;3482,27853499999;2872;42,0876778875256;,00748530083521177;,00538483104470353;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASDGSATR;1,552586176453;,59496300259713;3482,27853499999;2872;42,0876778875256;,0111158583911272;,00713382734698714;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;ASDHHER;2,45397252913509;,522969256412946;1700702,75633401;6871;76280,8040124296;,0231861804656244;,00313418239437122;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;ASDGSATR;1,30875037851109;,51257503516989;1700702,75633401;6871;76280,8040124296;,0210075089629048;,0127680869088875;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;ASDHHER;1,9189028902557;,41065426420484;35769,2151069997;1699;2196,89046443023;,0154310051523244;,0140424604165901;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;ASDGSATR;1,58081477708843;,609381920623754;35769,2151069997;1699;2196,89046443023;,019396628221913;,00914547216826009;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;ASDHHER;1,99545677472594;,363023571401033;541084,602833995;3312;9535,01925412426;,00887710626972819;,011047768487691;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;ASDGSATR;1,49382218719128;,610517751723293;541084,602833995;3312;9535,01925412426;,0151398094742619;,00831604848043752;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Kuwait;ASDHHER;2,12471843753597;,554614837254498;11630,5732950001;3719;517,993855287314;,0192310937568155;,00985865531986468;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Kuwait;ASDGSATR;1,53451655161938;,584312243515051;11630,5732950001;3719;517,993855287314;,0118811843733617;,00804255378290707;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;ASDHHER;1,86993895524051;,379096121639541;31855,511369;2821;808,399900477039;,0105971943401517;,0096674008653011;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;ASDGSATR;1,6418040249982;,623110335653286;31855,511369;2821;808,399900477039;,0198924895718661;,00724335373298555;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;ASDHHER;1,90711041520088;,320174805226507;41427,721023;2467;553,793505525736;,0112238937764801;,0137467631065304;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;ASDGSATR;1,60097521420929;,604391510568468;41427,721023;2467;553,793505525736;,0187041254789991;,00828329743376666;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;ASDHHER;2,02688455710098;,315666465089164;58084,0539099994;3372;2145,25799470829;,0120455080741596;,0169277177491073;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;ASDGSATR;1,36046110862788;,512795268202478;58084,0539099994;3372;2145,25799470829;,0198579847641327;,00908640382618029;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;ASDHHER;1,94715656213474;,28901921724458;117655,988069;2619;3924,11727117046;,00846288396644657;,0106117494331724;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Netherlands;ASDGSATR;1,67010044997253;,703336006542573;117655,988069;2619;3924,11727117046;,0203989219503385;,00917785626061935;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;ASDHHER;1,81545368414342;,417172354549287;47112,0140959999;2024;1719,46370695389;,0124246419336349;,0101518868593403;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
New Zealand;ASDGSATR;1,55276693658085;,633667993201844;47112,0140959999;2024;1719,46370695389;,0179487890762245;,0120306540050372;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;ASDHHER;2,13780090465954;,396339794310464;17971,2645800002;2540;1019,9562962004;,0143141199924097;,0117140005992197;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;ASDGSATR;1,35935445974052;,497980037482349;17971,2645800002;2540;1019,9562962004;,019101380644242;,00828858134767617;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;ASDHHER;1,67661772536303;,471872441161939;51413,6078660005;3055;1724,53705313623;,014301342286439;,0054186472224623;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Norway;ASDGSATR;1,64858811534701;,638663267683549;51413,6078660005;3055;1724,53705313623;,0161530182363104;,00738406431615413;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Romania;ASDHHER;2,10951377602746;,439545222616256;265739,22307;3375;6694,94052439994;,0184714595562556;,0123571943219365;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Romania;ASDGSATR;1,40469118090509;,51962964803217;265739,22307;3375;6694,94052439994;,0171946884058967;,00604868244565039;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;ASDHHER;1,93260563469897;,308099381075645;1765203,688374;3963;62459,6278117733;,00772321209006363;,00954264197873733;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;ASDGSATR;1,49296480773363;,56713761364559;1765203,688374;3963;62459,6278117733;,020538806336243;,00724438564457884;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;ASDHHER;1,84761089139808;,40286705944478;39614,4093129996;1672;1571,12410757551;,014288269433702;,0120770471268383;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;ASDGSATR;1,60299497587515;,66085470208003;39614,4093129996;1672;1571,12410757551;,0237090711174493;,0124269092626099;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;ASDHHER;1,90551788851876;,362681157827255;46448,1403220001;6608;1280,48952396268;,00943498262022894;,00913752024936869;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;ASDGSATR;1,50549151318507;,585376038874051;46448,1403220001;6608;1280,48952396268;,0147711906685081;,00555698204397986;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovak Republic;ASDHHER;1,9382695813971;,366104823162589;67753,7820519997;3628;1681,6946456604;,0145319416500027;,017224251037246;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovak Republic;ASDGSATR;1,62139831389321;,600797450083641;67753,7820519997;3628;1681,6946456604;,0181396660081607;,0073856721628424;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovenia;ASDHHER;1,91218827865997;,35776942148922;19848,772583;2777;365,430609537246;,00843393611420024;,00943035122398226;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovenia;ASDGSATR;1,47024107289104;,609288633435189;19848,772583;2777;365,430609537246;,0180885321441444;,0108136310385687;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden;ASDHHER;1,7599489235439;,433811816558237;105150,220864;5307;2369,91282420552;,0139639691391715;,0080783831069165;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden;ASDGSATR;1,52263709061609;,618369801947026;105150,220864;5307;2369,91282420552;,0147109411886675;,00835431841147177;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden (Grade 3);ASDHHER;1,7533158249509;,43983546132669;102569,144793999;4573;2609,16320239589;,0133111485506988;,00710488793835932;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden (Grade 3);ASDGSATR;1,52626371289739;,597847285300692;102569,144793999;4573;2609,16320239589;,0131208345044349;,0071009827061785;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Turkey;ASDHHER;2,3849102419735;,533911902218134;910850,422813998;4740;31203,0313201723;,0232223965972738;,00741725910085304;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Turkey;ASDGSATR;1,41787595699863;,513045253102395;910850,422813998;4740;31203,0313201723;,0156107719671544;,00516816867306953;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Table Average;ASDHHER;1,98203090909022;,416713011973485; ; ; ;,00261626474801638;,00182747560028085;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Table Average;ASDGSATR;1,52900088928091;,594530826489253; ; ; ;,00302787681289733;,00152882715299055;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
