BSBG01;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Girl;BSMMAT0;IDCNTRY;Australia;Israel;51,1668215572466;1,60499612075975;49,2236031148376;1,21149392152899;-1,94321844240903;2,01090279962895;-,96634130837532;504,44953504007;3,84288662134017;509,977188778273;4,30241911210831;5,52765373820291;5,76875964144027;,958204897027541;-6 to 17;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Italy;51,1668215572466;1,60499612075975;49,065488281246;,828504427379166;-2,10133327600065;1,8062204001286;-1,16338696863962;504,44953504007;3,84288662134017;490,920757895257;3,02894626527547;-13,528777144813;4,89308625127347;-2,76487608230737;-23 to -4;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Japan;51,1668215572466;1,60499612075975;51,0152017195335;,97248437454744;-,151619837713096;1,87662953360347;-,0807936968901681;504,44953504007;3,84288662134017;587,561009016678;3,14630303415246;83,1114739766077;4,96658840323941;16,7341175126167;73 to 93;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Kazakhstan;51,1668215572466;1,60499612075975;49,4636037330783;,903915103272333;-1,70321782416827;1,84203014676136;-,924641666241373;504,44953504007;3,84288662134017;531,052711018363;5,79874543561657;26,603175978293;6,95652400352067;3,82420530207748;13 to 40;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Jordan;51,1668215572466;1,60499612075975;50,4733381555364;2,58278994518666;-,693483401710179;3,040857847485;-,228055185902142;504,44953504007;3,84288662134017;394,851654141609;4,03451514001795;-109,597880898461;5,5718120929828;-19,6700604883086;-121 to -99;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Korea, Republic of;51,1668215572466;1,60499612075975;47,4138831718149;,548383605829961;-3,75293838543176;1,69609466917296;-2,2126939336834;504,44953504007;3,84288662134017;605,044751662261;2,64899983463679;100,595216622191;4,66743802405356;21,5525554070082;91 to 110;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Kuwait;51,1668215572466;1,60499612075975;50,696604836578;2,66452099670305;-,470216720668643;3,11057626325497;-,151167076732142;504,44953504007;3,84288662134017;395,968518915832;4,77625276700692;-108,481016124238;6,13028287102777;-17,6959234029687;-120 to -96;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Lebanon;51,1668215572466;1,60499612075975;53,3790072074064;1,61622283751917;2,2121856501598;2,27775960280543;,971211205710705;504,44953504007;3,84288662134017;441,252287359753;3,7534676053637;-63,1972476803167;5,37180571586408;-11,7646190169689;-74 to -53;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Lithuania;51,1668215572466;1,60499612075975;49,7086125516973;,821846261946053;-1,45820900554936;1,80317603852995;-,808689209700333;504,44953504007;3,84288662134017;509,941097180002;3,36753412470088;5,49156213993208;5,10960504006916;1,07475276403316;-5 to 16;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Malaysia;51,1668215572466;1,60499612075975;49,7192655483565;1,80408522828452;-1,44755600889008;2,41469171087496;-,599478601086331;504,44953504007;3,84288662134017;470,011802840552;3,84508651956301;-34,4377321995176;5,43621816407329;-6,33486941843294;-45 to -24;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Malta;51,1668215572466;1,60499612075975;48,9452542715366;,300202137585677;-2,22156728571002;1,63283001903592;-1,36056249567344;504,44953504007;3,84288662134017;495,068000614717;1,83947224049804;-9,38153442535346;4,26045017668768;-2,20200543047946;-18 to -1;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Morocco;51,1668215572466;1,60499612075975;46,1714156684488;,755085977017896;-4,99540588879786;1,77374388803539;-2,81630618856186;504,44953504007;3,84288662134017;385,430785998665;2,32095501983088;-119,018749041405;4,48938857624882;-26,5111266311577;-128 to -110;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Oman;51,1668215572466;1,60499612075975;47,9690349052431;1,71569675827365;-3,1977866520035;2,34938883840129;-1,36111426075367;504,44953504007;3,84288662134017;419,922338626604;2,94289261044615;-84,5271964134661;4,84028867952044;-17,4632551920107;-94 to -75;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
