"";"ASBGSEX";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"13";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Morocco";50,4878611890545;1,0760115344835;48,408759295606;1,21390013164816;-2,07910189344852;1,62214498487557;-1,28169917783767;497,531540980695;4,50877034749765;343,006989993919;6,00532389832573;-154,524550986776;7,50952229973893;-20,5771478955656;"-169 to -140";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"14";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Netherlands";50,4878611890545;1,0760115344835;49,0821994887059;1,1683352001348;-1,40566170034858;1,58833496536957;-0,884990717321086;497,531540980695;4,50877034749765;537,691680438601;2,66430580984242;40,1601394579061;5,23713046379734;7,66834810313027;"30 to 50";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"15";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"New Zealand";50,4878611890545;1,0760115344835;50,2746656500526;1,13022632602181;-0,21319553900188;1,56051669980628;-0,136618556551394;497,531540980695;4,50877034749765;493,846219526038;2,70945972072042;-3,68532145465743;5,26024543388239;-0,700598765015692;"-14 to 7";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"16";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Norway";50,4878611890545;1,0760115344835;49,8638373347933;0,757764910042951;-0,624023854261196;1,31605793232439;-0,474161386770461;497,531540980695;4,50877034749765;449,199227737719;2,6965808075459;-48,332313242976;5,25362333043577;-9,1998055823631;"-59 to -38";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"17";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Philippines";50,4878611890545;1,0760115344835;51,2942771149605;1,02710169560524;0,806415925906023;1,48752771922297;0,542118251300395;497,531540980695;4,50877034749765;364,02791972158;9,18626998807734;-133,503621259116;10,2331112737195;-13,046239573489;"-154 to -113";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"18";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Russian Federation";50,4878611890545;1,0760115344835;49,7821258758706;0,714922138159489;-0,705735313183858;1,29186473207224;-0,546291957403166;497,531540980695;4,50877034749765;529,807281389517;5,36111921101282;32,2757404088213;7,0050417016007;4,60750153727794;"19 to 46";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"19";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Singapore";50,4878611890545;1,0760115344835;48,987582024866;1,42758888221956;-1,50027916418853;1,78768309243513;-0,839231053052527;497,531540980695;4,50877034749765;598,725016658815;5,54814994153271;101,193475678119;7,14919420775541;14,1545288514257;"87 to 115";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"20";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Slovenia";50,4878611890545;1,0760115344835;48,3648485760719;1,12508105723363;-2,12301261298261;1,55679420852194;-1,36370793349639;497,531540980695;4,50877034749765;476,574490743578;2,96325986390371;-20,9570502371174;5,39536088389801;-3,88427219014429;"-32 to -10";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"21";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"Tunisia";50,4878611890545;1,0760115344835;48,2563288433163;0,864029659950408;-2,23153234573824;1,37998118668899;-1,61707446975592;497,531540980695;4,50877034749765;342,115693062975;4,99952230816972;-155,41584791772;6,7323274843371;-23,0850100918736;"-169 to -142";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"22";"GIRL";"ASMMAT0";"IDCNTRY";"Australia";"United States";50,4878611890545;1,0760115344835;49,7592657576913;0,460883184653553;-0,728595431363154;1,17056146025655;-0,622432444686391;497,531540980695;4,50877034749765;514,354524277049;2,37313303274453;16,8229832963541;5,09517128638257;3,30175029469872;"7 to 27";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
