IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Belize;90;ASRREA0;ASBGSEX;GIRL;GIRL;480,5977436;8,8192988956817;480,5977436;8,8192988956817;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;90;ASRREA0;ASBGSEX;GIRL;BOY;480,5977436;8,8192988956817;454,6145848;11,1821426287508;-25,9831588;12,5826581050603;-2,06499760090839;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;90;ASRREA0;ASBGSEX;BOY;GIRL;454,6145848;11,1821426287508;480,5977436;8,8192988956817;25,9831588;12,5826581050603;2,06499760090839;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;90;ASRREA0;ASBGSEX;BOY;BOY;454,6145848;11,1821426287508;454,6145848;11,1821426287508;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;10;ASRREA0;ASBGSEX;GIRL;GIRL;458,7087706;7,27756123378316;458,7087706;7,27756123378316;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;10;ASRREA0;ASBGSEX;GIRL;BOY;458,7087706;7,27756123378316;429,737655;9,36820895766241;-28,9711156;8,68955677353411;-3,33401534221373;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;10;ASRREA0;ASBGSEX;BOY;GIRL;429,737655;9,36820895766241;458,7087706;7,27756123378316;28,9711156;8,68955677353411;3,33401534221373;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;10;ASRREA0;ASBGSEX;BOY;BOY;429,737655;9,36820895766241;429,737655;9,36820895766241;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;50;ASRREA0;ASBGSEX;GIRL;GIRL;569,5841768;5,38148425961686;569,5841768;5,38148425961686;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;50;ASRREA0;ASBGSEX;GIRL;BOY;569,5841768;5,38148425961686;548,2929574;4,96028587773609;-21,2912194;5,76683500808595;-3,69201119334029;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;50;ASRREA0;ASBGSEX;BOY;GIRL;548,2929574;4,96028587773609;569,5841768;5,38148425961686;21,2912194;5,76683500808595;3,69201119334029;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;50;ASRREA0;ASBGSEX;BOY;BOY;548,2929574;4,96028587773609;548,2929574;4,96028587773609;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;90;ASRREA0;ASBGSEX;GIRL;GIRL;657,4890482;3,80187885043024;657,4890482;3,80187885043024;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;90;ASRREA0;ASBGSEX;GIRL;BOY;657,4890482;3,80187885043024;637,1436378;5,29542802188324;-20,3454104;5,59532171174584;-3,63614666825866;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;90;ASRREA0;ASBGSEX;BOY;GIRL;637,1436378;5,29542802188324;657,4890482;3,80187885043024;20,3454104;5,59532171174584;3,63614666825866;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;90;ASRREA0;ASBGSEX;BOY;BOY;637,1436378;5,29542802188324;637,1436378;5,29542802188324;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;10;ASRREA0;ASBGSEX;GIRL;GIRL;320,5557854;5,26500090403422;320,5557854;5,26500090403422;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;10;ASRREA0;ASBGSEX;GIRL;BOY;320,5557854;5,26500090403422;312,5700692;14,7040582541102;-7,9857162;12,8559870232078;-,621167101801215;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;10;ASRREA0;ASBGSEX;BOY;GIRL;312,5700692;14,7040582541102;320,5557854;5,26500090403422;7,9857162;12,8559870232078;,621167101801215;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;10;ASRREA0;ASBGSEX;BOY;BOY;312,5700692;14,7040582541102;312,5700692;14,7040582541102;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;50;ASRREA0;ASBGSEX;GIRL;GIRL;429,3143208;6,57646050956915;429,3143208;6,57646050956915;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
