"";"SGENDER";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"14";"BOY";"HISCED";"IDCNTRY";"Austria";"Hong Kong, SAR";49,9803178169187;1,41156444294757;50,6485994767844;3,18981370104412;0,668281659865649;3,4881837141932;0,191584421756931;3,48420251808176;0,028992181752468;2,88786643258564;0,0513928424579325;-0,596336085496118;0,0590065323390047;-10,1062723372735;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"15";"BOY";"HISCED";"IDCNTRY";"Austria";"Indonesia";49,9803178169187;1,41156444294757;47,2768869247344;1,11117545112877;-2,70343089218434;1,79644790065983;-1,50487575575745;3,48420251808176;0,028992181752468;2,50557320469886;0,0613777978337591;-0,978629313382895;0,0678806354543764;-14,4169144385905;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"16";"BOY";"HISCED";"IDCNTRY";"Austria";"Ireland";49,9803178169187;1,41156444294757;51,7486336843629;1,74581598055149;1,76831586744413;2,24508075902468;0,787640204182378;3,48420251808176;0,028992181752468;3,71542943419249;0,0388843602627186;0,231226916110731;0,0485029903800686;4,76727134345411;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"17";"BOY";"HISCED";"IDCNTRY";"Austria";"Italy";49,9803178169187;1,41156444294757;51,8285598145439;0,773003954375387;1,84824199762517;1,60936300755108;1,14843076978486;3,48420251808176;0,028992181752468;3,17365447455075;0,0436747262442746;-0,310548043531003;0,0524216397614617;-5,92404291327234;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"18";"BOY";"HISCED";"IDCNTRY";"Austria";"Korea, Republic of";49,9803178169187;1,41156444294757;56,8424402159997;2,49205688122191;6,86212239908091;2,86406383934426;2,3959390516421;3,48420251808176;0,028992181752468;3,97637398509904;0,0255714930633307;0,492171467017288;0,0386580891956148;12,7313966431925;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"19";"BOY";"HISCED";"IDCNTRY";"Austria";"Latvia";49,9803178169187;1,41156444294757;49,4326671747942;1,25632491859513;-0,547650642124538;1,88967364316618;-0,289812288013363;3,48420251808176;0,028992181752468;4,00316692111793;0,0363617758556492;0,518964403036174;0,0465051109679851;11,159298241293;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"20";"BOY";"HISCED";"IDCNTRY";"Austria";"Liechtenstein";49,9803178169187;1,41156444294757;50,0832308026344;3,26542198813117;0,10291298571569;3,55745624529163;0,0289288127863548;3,48420251808176;0,028992181752468;3,29046242774566;0,0764665898357278;-0,19374009033609;0,0817782731773762;-2,36909001387043;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"21";"BOY";"HISCED";"IDCNTRY";"Austria";"Lithuania";49,9803178169187;1,41156444294757;51,0290606292467;0,995681492385772;1,04874281232792;1,72739567293468;0,607123676850604;3,48420251808176;0,028992181752468;3,81879495232912;0,0426750261008058;0,334592434247363;0,0515917091737868;6,48539154072775;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"22";"BOY";"HISCED";"IDCNTRY";"Austria";"Luxembourg";49,9803178169187;1,41156444294757;49,2175141637291;0,965841068076903;-0,762803653189629;1,71036930087564;-0,445987689792553;3,48420251808176;0,028992181752468;3,18594755636914;0,03393588514967;-0,298254961712617;0,044633965806992;-6,68224201726423;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"23";"BOY";"HISCED";"IDCNTRY";"Austria";"Malta";49,9803178169187;1,41156444294757;49,8561051272676;1,00179732100306;-0,124212689651173;1,73092808890572;-0,0717607452599028;3,48420251808176;0,028992181752468;3,17455646434061;0,0438387406692792;-0,309646053741141;0,0525583655209754;-5,89147038101032;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"24";"BOY";"HISCED";"IDCNTRY";"Austria";"Mexico";49,9803178169187;1,41156444294757;47,9952251606545;0,869191457291359;-1,98509265626422;1,65771166552635;-1,19748970677233;3,48420251808176;0,028992181752468;2,84152929721461;0,0552386305535313;-0,642673220867146;0,0623847169441175;-10,3017734526685;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"25";"BOY";"HISCED";"IDCNTRY";"Austria";"Netherlands";49,9803178169187;1,41156444294757;48,7849333430722;1,87310436126971;-1,19538447384658;2,34542834569754;-0,50966574017893;3,48420251808176;0,028992181752468;3,68000610575042;0,057448105779233;0,195803587668665;0,0643492926176355;3,04282424411613;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"26";"BOY";"HISCED";"IDCNTRY";"Austria";"New Zealand";49,9803178169187;1,41156444294757;47,6710311965853;1,71283444871422;-2,30928662033342;2,21953058669981;-1,04043919654518;3,48420251808176;0,028992181752468;4,04237241861528;0,0314772895603841;0,558169900533524;0,0427944664744918;13,0430391243744;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"27";"BOY";"HISCED";"IDCNTRY";"Austria";"Norway";49,9803178169187;1,41156444294757;48,3790448029706;0,973768461918132;-1,60127301394813;1,71485835975461;-0,933764007295193;3,48420251808176;0,028992181752468;4,23290352010277;0,0329904483363729;0,748701002021019;0,043919429461265;17,0471477249344;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"28";"BOY";"HISCED";"IDCNTRY";"Austria";"Paraguay";49,9803178169187;1,41156444294757;47,6730650982044;1,30379988801933;-2,30725271871439;1,92156403083351;-1,20071602178856;3,48420251808176;0,028992181752468;2,59588883420873;0,0597233808509074;-0,888313683873029;0,0663884690517162;-13,3805417802456;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"29";"BOY";"HISCED";"IDCNTRY";"Austria";"Poland";49,9803178169187;1,41156444294757;49,5953463420864;1,12130139126286;-0,384971474832369;1,80272876125109;-0,213549305423628;3,48420251808176;0,028992181752468;3,65899786341871;0,0380098456414386;0,174795345336953;0,0478047588473588;3,65644236162925;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"30";"BOY";"HISCED";"IDCNTRY";"Austria";"Russian Federation";49,9803178169187;1,41156444294757;50,3941392628939;1,03767270341163;0,413821445975159;1,75193573398098;0,236208119937607;3,48420251808176;0,028992181752468;4,19952166915372;0,0290225734707436;0,715319151071965;0,0410226324561558;17,437183043689;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"31";"BOY";"HISCED";"IDCNTRY";"Austria";"Slovak Republic";49,9803178169187;1,41156444294757;49,2588466656963;1,20766245157034;-0,721471151222453;1,85767671394319;-0,388372823865044;3,48420251808176;0,028992181752468;3,71282068795289;0,0325139053353542;0,228618169871131;0,0435626060162212;5,24803703860146;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"32";"BOY";"HISCED";"IDCNTRY";"Austria";"Slovenia";49,9803178169187;1,41156444294757;50,5942715815782;0,827163804585232;0,613953764659463;1,63606666618747;0,375262070518287;3,48420251808176;0,028992181752468;3,94273601759342;0,0338882323116919;0,458533499511664;0,044597745368789;10,2815399235981;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"33";"BOY";"HISCED";"IDCNTRY";"Austria";"Spain";49,9803178169187;1,41156444294757;49,0819228967471;1,16712853945107;-0,898394920171675;1,83158488861288;-0,490501382576954;3,48420251808176;0,028992181752468;3,35687954924994;0,0625858711043804;-0,12732296883182;0,068974907500208;-1,84593170830183;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"34";"BOY";"HISCED";"IDCNTRY";"Austria";"Sweden";49,9803178169187;1,41156444294757;49,2450608757789;0,862423440624497;-0,735256941139887;1,6541730162025;-0,444486117194575;3,48420251808176;0,028992181752468;4,2135903031591;0,034587455555465;0,729387785077347;0,0451313492438394;16,1614442576611;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"35";"BOY";"HISCED";"IDCNTRY";"Austria";"Switzerland";49,9803178169187;1,41156444294757;50,1006485231073;1,40554471804454;0,120330706188568;1,99200153890925;0,0604069343512944;3,48420251808176;0,028992181752468;3,40696854880804;0,0602920245258697;-0,0772339692737161;0,0669004844840171;-1,15446053745945;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"36";"BOY";"HISCED";"IDCNTRY";"Austria";"Thailand";49,9803178169187;1,41156444294757;47,5156022199959;1,68799137816342;-2,46471559692289;2,20041565831275;-1,12011364198926;3,48420251808176;0,028992181752468;2,40281706895961;0,0602530609690588;-1,08138544912214;0,0668653718968889;-16,1725780990153;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"37";"BOY";"HISCED";"IDCNTRY";"Austria";"England";49,9803178169187;1,41156444294757;47,1371628411107;2,22198998881828;-2,84315497580801;2,63244253251663;-1,08004446087183;3,48420251808176;0,028992181752468;3,82848188351634;0,0480622591366822;0,344279365434588;0,0561295586664436;6,13365530772312;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"38";"BOY";"HISCED";"IDCNTRY";"Austria";"Belgium (Flemish)";49,9803178169187;1,41156444294757;51,9014802420143;1,89688256781437;1,92116242509555;2,36446138743519;0,812515880066663;3,48420251808176;0,028992181752468;3,97610005481736;0,0421064934392427;0,4918975367356;0,0511224353148119;9,62195039626918;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"39";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Austria";48,1680421120763;1,6631234598236;49,9803178169187;1,41156444294757;1,81227570484243;2,18139721720036;0,830786658455688;3,81098623252947;0,0485943302585588;3,48420251808176;0,028992181752468;-0,326783714447713;0,0565858245150322;-5,7750102123351;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"40";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Bulgaria";48,1680421120763;1,6631234598236;48,1680421120763;1,6631234598236;0;NA;NA;3,81098623252947;0,0485943302585588;3,81098623252947;0,0485943302585588;0;NA;NA;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"41";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Chile";48,1680421120763;1,6631234598236;49,2306901403679;1,46331265826079;1,0626480282916;2,21523442968049;0,479700032670974;3,81098623252947;0,0485943302585588;3,22272487204176;0,0434544524590913;-0,58826136048771;0,0651897106282679;-9,02383757832826;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"42";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Chinese Taipei";48,1680421120763;1,6631234598236;51,5097586575702;0,573293491840917;3,34171654549386;1,75916033106785;1,8996088568376;3,81098623252947;0,0485943302585588;3,46512796557417;0,0315495005933003;-0,345858266955294;0,0579377245062709;-5,96948309417744;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"43";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Colombia";48,1680421120763;1,6631234598236;47,8076300883959;1,3723399427109;-0,360412023680382;2,1562227530975;-0,167149717329824;3,81098623252947;0,0485943302585588;3,13101898604708;0,0857193551234021;-0,679967246482388;0,0985353579992979;-6,90074365475217;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"44";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Cyprus";48,1680421120763;1,6631234598236;50,3087193962221;0,618332248437928;2,1406772841458;1,77434901078506;1,2064578451782;3,81098623252947;0,0485943302585588;3,76244470980581;0,0353021353446135;-0,0485415227236596;0,0600637136145218;-0,808167191179528;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"45";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Czech Republic";48,1680421120763;1,6631234598236;53,8962126818815;0,982406693037058;5,72817056980517;1,93160621068054;2,96549604061743;3,81098623252947;0,0485943302585588;3,62463560882322;0,024666371515198;-0,186350623706251;0,0544962275483694;-3,41951419556245;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"46";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Denmark";48,1680421120763;1,6631234598236;46,7716500255655;0,816333963211981;-1,39639208651078;1,85266855700338;-0,753719320831671;3,81098623252947;0,0485943302585588;3,95272347707405;0,0271134264436377;0,141737244544579;0,05564662457681;2,54709509556931;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"47";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Dominican Republic";48,1680421120763;1,6631234598236;45,4548540327952;1,20980889518661;-2,71318807928109;2,0566033174845;-1,31925688158457;3,81098623252947;0,0485943302585588;3,0844347778072;0,0511439023287801;-0,726551454722266;0,0705486192543389;-10,2985921255657;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"48";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Estonia";48,1680421120763;1,6631234598236;49,1890466770329;1,05001399373663;1,02100456495657;1,96685256937533;0,519105794127131;3,81098623252947;0,0485943302585588;3,98920901518602;0,0400396421562317;0,178222782656557;0,0629649257704396;2,83050889802252;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"49";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Finland";48,1680421120763;1,6631234598236;48,5745279850073;0,999838931707328;0,406485872931;1,94053021928886;0,209471550038507;3,81098623252947;0,0485943302585588;3,83559927159066;0,0296736814170643;0,0246130390611934;0,0569380040229662;0,432277869299135;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"50";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Greece";48,1680421120763;1,6631234598236;49,2742090848435;1,05429135947712;1,10616697276723;1,96913938391464;0,561751484838098;3,81098623252947;0,0485943302585588;3,7127543298852;0,0444954190347009;-0,0982319026442657;0,0658881722948171;-1,49088826147319;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"51";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Guatemala";48,1680421120763;1,6631234598236;51,2867293109169;1,3756152404657;3,11868719884059;2,15830881303327;1,44496801384859;3,81098623252947;0,0485943302585588;2,16565178635301;0,0822898852683853;-1,64533444617646;0,0955669092874824;-17,2165706565543;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"52";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Hong Kong, SAR";48,1680421120763;1,6631234598236;50,6485994767844;3,18981370104412;2,48055736470808;3,597345005693;0,689552256117346;3,81098623252947;0,0485943302585588;2,88786643258564;0,0513928424579325;-0,923119799943831;0,0707292951271519;-13,0514491666334;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"53";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Indonesia";48,1680421120763;1,6631234598236;47,2768869247344;1,11117545112877;-0,891155187341909;2,00017262400194;-0,445539138296417;3,81098623252947;0,0485943302585588;2,50557320469886;0,0613777978337591;-1,30541302783061;0,0782856500273178;-16,6749976192966;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"54";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Ireland";48,1680421120763;1,6631234598236;51,7486336843629;1,74581598055149;3,58059157228656;2,41119328975604;1,48498736600616;3,81098623252947;0,0485943302585588;3,71542943419249;0,0388843602627186;-0,0955567983369816;0,0622366644858059;-1,5353778857923;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"55";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Italy";48,1680421120763;1,6631234598236;51,8285598145439;0,773003954375387;3,66051770246759;1,83398875571678;1,99593246744686;3,81098623252947;0,0485943302585588;3,17365447455075;0,0436747262442746;-0,637331757978716;0,065336748050314;-9,75456809524595;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"56";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Korea, Republic of";48,1680421120763;1,6631234598236;56,8424402159997;2,49205688122191;8,67439810392334;2,99605192576182;2,89527628988529;3,81098623252947;0,0485943302585588;3,97637398509904;0,0255714930633307;0,165387752569575;0,0549118401691826;3,01187780376724;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"57";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Latvia";48,1680421120763;1,6631234598236;49,4326671747942;1,25632491859513;1,26462506271789;2,08430610604553;0,606736725977939;3,81098623252947;0,0485943302585588;4,00316692111793;0,0363617758556492;0,192180688588461;0,0606925668978859;3,16646170052094;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
"58";"BOY";"HISCED";"IDCNTRY";"Bulgaria";"Liechtenstein";48,1680421120763;1,6631234598236;50,0832308026344;3,26542198813117;1,91518869055812;3,66455459819964;0,522625230225532;3,81098623252947;0,0485943302585588;3,29046242774566;0,0764665898357278;-0,520523804783803;0,0906010391462665;-5,74522996301917;"TOTWGTS";"JRR";"HALF";"04-MAR-26";"12h59m";75;"NONE"
