"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"16";"Azerbaijan, Republic of";"BSDGSLM_D3";-42,2100425320222;-0,171288389522952;5,98206456976113;0,0248598079781757;-7,05609945191676;-6,89017347492489;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"17";"Azerbaijan, Republic of";"BSBG01_D2";-2,35246176271019;-0,0108526920597305;5,02230827918299;0,0230127966608691;-0,468402501786066;-0,471593792778103;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"18";"Azerbaijan, Republic of";"BSSSCI0_";0,947761833904797;0,678081740165418;0,0258054428955957;0,0135100872899043;36,7272066493599;50,190774168582;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"19";"Bahrain";"(CONSTANT)";59,0803081218782;NA;42,114222771335;NA;1,40285880242081;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"20";"Bahrain";"BSDAGE";0,820462425627607;0,00386805061501335;3,03898673823598;0,0142227804021655;0,269978942423373;0,271961635182416;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"21";"Bahrain";"BSDGSLM_D2";-10,3003827140649;-0,044650854407582;4,610439481491;0,0201224177138557;-2,23414335128281;-2,21896071548284;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"22";"Bahrain";"BSDGSLM_D3";-20,2510438887209;-0,0926027429983966;4,74984303507227;0,0217284851441306;-4,26351854981094;-4,26181311693562;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"23";"Bahrain";"BSBG01_D2";13,8401568560746;0,0643440937307523;3,0208083070588;0,013848638911702;4,58160712274721;4,64623954317865;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"24";"Bahrain";"BSSSCI0_";0,814380311416332;0,784270732030497;0,0140020803332929;0,010933196582576;58,1613797401211;71,7329763630494;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"25";"Chile";"(CONSTANT)";143,979279997783;NA;50,4115760410695;NA;2,85607575292796;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
