IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Cyprus;ASDMSCL;ASBGSEX;GIRL;BOY;49,3558883456931;,752723513565419;50,644111654307;,75272351356544;1,28822330861392;1,50544702713086;,855708162026174;1,36487717731938;,014914046465837;1,31738126024963;,0139480645333246;-,0474959170697506;,0178162387088829;-2,6658779019429;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASDMSCL;ASBGSEX;BOY;GIRL;50,644111654307;,75272351356544;49,3558883456931;,752723513565419;-1,28822330861392;1,50544702713086;-,855708162026174;1,31738126024963;,0139480645333246;1,36487717731938;,014914046465837;,0474959170697506;,0178162387088829;2,6658779019429;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASDMSCL;ASBGSEX;BOY;BOY;50,644111654307;,75272351356544;50,644111654307;,75272351356544;0; ; ;1,31738126024963;,0139480645333246;1,31738126024963;,0139480645333246;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASDMSCL;ASBGSEX;GIRL;GIRL;47,2186048733411;1,11943822135753;47,2186048733411;1,11943822135753;0; ; ;1,93324028646103;,0223247648142276;1,93324028646103;,0223247648142276;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASDMSCL;ASBGSEX;GIRL;BOY;47,2186048733411;1,11943822135753;52,781395126659;1,11943822135753;5,56279025331791;2,23887644271506;2,48463476911301;1,93324028646103;,0223247648142276;1,66121127453014;,0189426122969735;-,272029011930888;,0245044280886892;-11,1012185612466;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASDMSCL;ASBGSEX;BOY;GIRL;52,781395126659;1,11943822135753;47,2186048733411;1,11943822135753;-5,56279025331791;2,23887644271506;-2,48463476911301;1,66121127453014;,0189426122969735;1,93324028646103;,0223247648142276;,272029011930888;,0245044280886892;11,1012185612466;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASDMSCL;ASBGSEX;BOY;BOY;52,781395126659;1,11943822135753;52,781395126659;1,11943822135753;0; ; ;1,66121127453014;,0189426122969735;1,66121127453014;,0189426122969735;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASDMSCL;ASBGSEX;GIRL;GIRL;49,8666711489956;,972826735706502;49,8666711489956;,972826735706502;0; ; ;1,48689748906048;,0202895212801797;1,48689748906048;,0202895212801797;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASDMSCL;ASBGSEX;GIRL;BOY;49,8666711489956;,972826735706502;50,1333288510044;,97282673570649;,266657702008743;1,94565347141299;,137053029188743;1,48689748906048;,0202895212801797;1,41261431473305;,0192015868950898;-,0742831743274346;,0316273259791931;-2,34870233342849;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASDMSCL;ASBGSEX;BOY;GIRL;50,1333288510044;,97282673570649;49,8666711489956;,972826735706502;-,266657702008743;1,94565347141299;-,137053029188743;1,41261431473305;,0192015868950898;1,48689748906048;,0202895212801797;,0742831743274346;,0316273259791931;2,34870233342849;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
