"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"22";"Lithuania";"BOY";"ASMMAT0";2140;21546,7048811736;430,453107256665;4,96970224105388;542,079951612716;3,92844147453187;629,178522982115;4,9150353830757;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"23";"Moldova";"GIRL";"ASMMAT0";1977;27941,7266364823;392,930588170315;8,51976381135258;516,324005800871;7,81731225561229;612,773246847521;8,02343333359211;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"24";"Moldova";"BOY";"ASMMAT0";1980;28429,087511848;381,812170242401;10,2973402800163;505,647785349003;4,19016808609872;603,743870285015;6,6070723910051;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"25";"Morocco";"GIRL";"ASMMAT0";1976;293009,578019696;224,496090029409;6,60993403600606;344,539850175539;8,34676589082082;461,173958812382;6,67394182208267;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"26";"Morocco";"BOY";"ASMMAT0";2125;312272,569846244;234,708250798641;10,5491290273608;348,896889518302;5,54410436081298;469,281159847108;10,8353995374114;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"27";"Netherlands";"GIRL";"ASMMAT0";1432;82706,499897546;467,196134033185;7,02606647319368;539,656267465816;3,73507392800008;606,784152193282;4,3220946970674;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"28";"Netherlands";"BOY";"ASMMAT0";1477;85799,5995827295;474,520087809015;5,17099126071644;544,624382471427;4,1533571452197;612,619180258854;2,10805957013238;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"29";"New Zealand";"GIRL";"ASMMAT0";2117;29621,2025758291;382,275534001954;4,91558042710492;499,737648067757;3,4303601270032;594,845929749271;4,53752310515832;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"30";"New Zealand";"BOY";"ASMMAT0";2166;29297,5434622127;377,520107833444;6,35100654164605;500,388578087382;4,63447614783749;600,203988833356;4,64558517365419;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"31";"Norway";"GIRL";"ASMMAT0";2139;30003,860707374;346,030097615575;4,45614455586166;454,296327001179;3,17719540239175;547,55587966727;3,95567629466071;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"32";"Norway";"BOY";"ASMMAT0";2189;30167,7231719885;344,334121375018;9,3532324163467;459,685369094453;3,62745048415975;553,622689303126;4,54231584492652;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"33";"Philippines";"GIRL";"ASMMAT0";2356;925566,734687533;224,362894140682;8,11045523742268;359,678327970091;8,23018236610164;512,000107561617;18,0562329510977;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"34";"Philippines";"BOY";"ASMMAT0";2214;878858,216293166;216,815289573745;7,41446187953595;344,830083998417;6,93373145522714;501,054165171857;17,0604412926927;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"35";"Russian Federation";"GIRL";"ASMMAT0";1962;566407,658988907;427,619638539632;7,44206154090078;531,964475981393;6,42348913666566;629,735480471246;6,40809703934877;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"36";"Russian Federation";"BOY";"ASMMAT0";2000;571365,48553533;432,491323340891;6,55463126563532;534,613611062312;6,58066342411454;633,617274354866;8,73389728718665;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"37";"Singapore";"GIRL";"ASMMAT0";3355;24477,5307944038;494,625915912838;10,8535656357671;604,62430445261;6,50552449248035;694,50370841978;6,35569720017029;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
