"";"IDCNTRY";"SGENDER";"dvar";"n";"TOTWGTS";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"25";"Guatemala";"BOY";"PVCIV";2035;67475,7471413772;337,070635621907;5,98529245629928;430,865211781478;5,1983255205339;535,805780175258;9,80782023502382;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"26";"Guatemala";"GIRL";"PVCIV";1955;64018,3738838937;340,435463466196;7,37856475423922;433,388832664695;6,21725360531946;533,282159292041;10,2466811862447;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"27";"Hong Kong, SAR";"BOY";"PVCIV";1414;39845,6137598716;397,847838559387;19,3957043591601;550,737203734293;8,53213624764583;671,029799167645;10,5549687122563;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"28";"Hong Kong, SAR";"GIRL";"PVCIV";1376;38668,1299950028;450,843877106947;12,0827455195111;568,402549916813;7,78400578654153;672,501911349521;8,33283328027565;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"29";"Indonesia";"BOY";"PVCIV";2365;1548641,39106872;339,594256505124;5,23224643849178;419,088314326464;5,50412327645883;513,934399187376;6,13490223946413;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"30";"Indonesia";"GIRL";"PVCIV";2650;1724653,14108784;353,053567882282;7,64353529519438;440,53909183381;4,48095717115714;533,282159292041;7,11305028254402;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"31";"Ireland";"BOY";"PVCIV";1720;28691,6126931752;384,388527182229;9,35783668805904;528,445219265875;9,83034109185132;655,677772128073;8,41206961072388;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"32";"Ireland";"GIRL";"PVCIV";1626;26529,3701335019;411,517451676813;7,30325593714942;550,106298513489;6,25272025701248;668,716480024696;7,97761849176422;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"33";"Italy";"BOY";"PVCIV";1740;278524,785331587;404,787795988234;7,56501867915528;522,977374018904;6,80156274468891;638,012425945553;5,9146780277814;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"34";"Italy";"GIRL";"PVCIV";1612;258771,75795237;427,710685677456;5,9333422520526;544,848755006787;5,50010420087625;645,583288595205;5,71695910675288;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"35";"Korea, Republic of";"BOY";"PVCIV";2968;372021,811631372;443,273014457296;5,27853178778607;562,303799449038;4,49081627476165;654,626263426733;4,23224088323373;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"36";"Korea, Republic of";"GIRL";"PVCIV";2275;282677,837115273;477,972801601493;5,23647110311357;580,600050852363;2,29412114179163;674,81523049247;4,02330918986894;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"37";"Latvia";"BOY";"PVCIV";1329;10327,4103076463;361,255335752738;6,23855779203942;464,092886743837;6,34749043365711;576,394016047001;6,58012603972251;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"38";"Latvia";"GIRL";"PVCIV";1412;10425,1542751572;396,37572637751;9,53110131628788;496,89995822566;5,32025996115467;594,479965710057;6,48534561020151;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"39";"Liechtenstein";"BOY";"PVCIV";181;182;407,521718611719;14,2400835210206;521,29496009676;9,19333762923772;650,420228621371;40,9386787545255;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"40";"Liechtenstein";"GIRL";"PVCIV";172;178,675;401,633269884213;11,8853047642696;561,672894228234;16,6111752205294;645,162685114669;26,0935226473145;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"41";"Lithuania";"BOY";"PVCIV";1974;19280,8140094827;386,701846325178;3,85489457423797;487,856983394132;5,31610188317584;593,638758748985;6,22080936975375;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"42";"Lithuania";"GIRL";"PVCIV";1918;18285,4254268532;423,714952612363;5,35753744288396;524,449486200781;5,32441479190204;618,454364100621;8,19637374434079;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"43";"Luxembourg";"BOY";"PVCIV";2318;2841,87218051673;338,332446063515;6,75261826557252;467,247412847859;6,24210142072161;601,419923138905;4,81402687019192;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"44";"Luxembourg";"GIRL";"PVCIV";2477;2917,42543976719;359,783223570861;7,32743897000754;479,444913783408;4,72126235957035;597,213888333543;4,27900739557119;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"45";"Malta";"BOY";"PVCIV";1126;2416,14502873143;351,581455700405;8,45402533039855;471,243145912953;5,73626668993724;596,162379632202;5,47996460852598;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"46";"Malta";"GIRL";"PVCIV";1011;2438,79343280702;375,976457571505;16,5591755878938;516,87862355113;10,2164230445447;618,874967581157;10,3774906153698;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"47";"Mexico";"BOY";"PVCIV";3142;964957,810447379;336,860333881639;5,30360808944504;432,547625703623;5,40684097375;553,050522877242;7,05059911522275;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"48";"Mexico";"GIRL";"PVCIV";3429;1044449,17184931;358,521413129253;7,00339528753068;463,041378042497;5,2406923623725;569,033455137618;5,8318458559086;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"49";"Netherlands";"BOY";"PVCIV";901;77465,2344269003;367,143784480245;15,488262727301;489,749699056545;17,5207982473089;613,617424074454;13,5150573322475;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"50";"Netherlands";"GIRL";"PVCIV";1030;81665,4971672029;385,229734143301;9,3837946760328;499,002975628341;7,71265684028009;604,364147502658;8,14766590881367;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"51";"New Zealand";"BOY";"PVCIV";1982;27660,4596923727;352,002059180942;10,229401779032;499,633880849146;10,5654388752439;654,836565167001;10,8075453640411;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"52";"New Zealand";"GIRL";"PVCIV";1950;29824,5974321572;399,7405542218;9,24849575161396;535,174874954454;7,94985085272294;660,094108673704;10,2509964869989;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"53";"Norway";"BOY";"PVCIV";1458;28781,250775487;374,924948870164;9,69443121923891;503,839915654508;6,6303439600092;634,437296360743;6,08059398184469;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"54";"Norway";"GIRL";"PVCIV";1502;29806,1838927372;408,362925572792;7,60001509731973;529,286426226947;5,52817636967334;644,111176413328;7,76978841250603;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"55";"Paraguay";"BOY";"PVCIV";1627;42241,8039793299;295,641192789092;6,40989216762996;406,049606429843;6,03679561479992;527,814314045071;6,42711846090016;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"56";"Paraguay";"GIRL";"PVCIV";1771;46072,6174227498;329,079169491719;8,48796165003693;434,650643106304;7,25769556774808;553,05052287761;6,47852251924793;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"57";"Poland";"BOY";"PVCIV";1605;217935,034723894;384,388527182229;8,69642832151456;519,191942694079;9,77620387753374;657,780789530755;10,2164230445448;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"58";"Poland";"GIRL";"PVCIV";1633;219952,228007351;431,496117002282;10,5066715762718;556,205048980973;6,63034395760616;669,3473852455;7,84061748359834;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"59";"Russian Federation";"BOY";"PVCIV";2144;638867,234314457;387,963656766786;4,99438961088554;494,376337342443;5,6781469872386;605,20535446373;6,1312966545276;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"60";"Russian Federation";"GIRL";"PVCIV";2148;631955,883987171;407,732020351987;6,29501647940437;515,406511369253;5,83184585590862;629,179752854293;8,53213624731918;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"61";"Slovak Republic";"BOY";"PVCIV";1473;25426,7763651637;401,212666403745;7,71265684000238;520,453753135687;5,43946172806642;637,591822465017;8,69897076537546;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"62";"Slovak Republic";"GIRL";"PVCIV";1493;26157,5641850973;421,82223694995;7,72411696077658;538,539702798744;9,37908038551871;649,999625140835;9,06739554796465;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
