IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Bahrain;50;BSMMAT0;BSBG01;Girl;Boy;461,687372;2,91065521684961;443,402434;3,36014782579219;-18,284938;4,92118996709473;-3,71555215755971;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;50;BSMMAT0;BSBG01;Boy;Girl;443,402434;3,36014782579219;461,687372;2,91065521684961;18,284938;4,92118996709473;3,71555215755971;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;50;BSMMAT0;BSBG01;Boy;Boy;443,402434;3,36014782579219;443,402434;3,36014782579219;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;90;BSMMAT0;BSBG01;Girl;Girl;555,081594;3,80479494078935;555,081594;3,80479494078935;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;90;BSMMAT0;BSBG01;Girl;Boy;555,081594;3,80479494078935;558,734326;3,56277419406367;3,65273200000001;4,5353156157289;,805397531173355;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;90;BSMMAT0;BSBG01;Boy;Girl;558,734326;3,56277419406367;555,081594;3,80479494078935;-3,65273200000001;4,5353156157289;-,805397531173355;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;90;BSMMAT0;BSBG01;Boy;Boy;558,734326;3,56277419406367;558,734326;3,56277419406367;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;10;BSMMAT0;BSBG01;Girl;Girl;296,508176;4,88587875231839;296,508176;4,88587875231839;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;10;BSMMAT0;BSBG01;Girl;Boy;296,508176;4,88587875231839;265,159086;5,29861525495824;-31,34909;6,35947292349143;-4,92951072787789;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;10;BSMMAT0;BSBG01;Boy;Girl;265,159086;5,29861525495824;296,508176;4,88587875231839;31,34909;6,35947292349143;4,92951072787789;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
